,train_acc,test_acc,AUC,TPR@0.01FPR
bayes-optimal-cora-GCN-0,0.9217 (0.0000),0.7969 (0.0000),0.8133 (0.0000),0.1240 (0.0000)
bayes-optimal-cora-GCN-MIA0-small,0.9217 (0.0000),0.7969 (0.0000),0.7796 (0.0000),0.1160 (0.0000)
bayes-optimal-cora-GCN-MIA0-large,0.9217 (0.0000),0.7969 (0.0000),0.7784 (0.0000),0.1160 (0.0000)
