,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@est_threshold,FPR@est_threshold
cora-GCN_lira,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.828292667494311, 0.010817234825645809)","(0.09246676514032495, 0.037937160577757194)","(14.796719653749625, 4.973805234849005)","(0.06971935007385524, 0.006499261447562779)","(0.00827178729689808, 0.003381247604803426)"
cora-GCN_rmia,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.8224938853967346, 0.00911615201559046)","(0.1583456425406204, 0.025676144859841377)","(0.8529726564884186, 0.007141246344277833)","(0.16262924667651404, 0.019986817349029757)","(0.010487444608567209, 0.0028374258068387804)"
cora-GCN_base,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.8224977036146524, 0.009113948266988693)","(0.15878877400295419, 0.025671470791414474)","(0.6026620924472809, 0.011289932656545106)","(0.1719350073855244, 0.012931207461293523)","(0.010782865583456426, 0.003854649438906909)"
cora-GCN_g-base-MIA,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.7697660414243916, 0.009605021666282135)","(0.1400295420974889, 0.031144152925124846)","(0.5651896834373474, 0.006724535996427059)","(0.14963072378138847, 0.016996978462273257)","(0.010339734121122601, 0.0030271641849215947)"
cora-GCN_lira-offline,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.8258121349510941, 0.01007780864688758)","(0.12451994091580501, 0.03599441211956151)","(-1.3600549069857394e-05, 3.134365987691365e-05)","(0.11728212703101921, 0.012998522895125552)","(0.00841949778434269, 0.003030765809258965)"
cora-GCN_rmia-offline,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.8069235200041891, 0.008357593148108996)","(0.16942392909896603, 0.03092798009475193)","(0.8244368195533752, 0.010392521151728947)","(0.1738552437223043, 0.01138521162336374)","(0.010930576070901034, 0.003630193715640918)"
cora-GCN_base-offline,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.816682012266298, 0.007662947568655888)","(0.17355982274741508, 0.033372438038325396)","(0.5414969861507416, 0.009967904708183317)","(0.1757754800590842, 0.011441605158662974)","(0.010339734121122601, 0.002954209748892171)"
cora-GCN_g-base-MIA-offline,"(0.9602289527654648, 0.0048049890280458685)","(0.8136262953281402, 0.014677092043967018)","(0.7477308876374832, 0.013947582315953397)","(0.11314623338257017, 0.029668856559559913)","(0.6713506758213044, 0.019633484842177553)","(0.11875923190546529, 0.01183897483575414)","(0.011521418020679469, 0.004470530561424389)"
