,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_strong-lset-cora-GCN,TPR_strong-lset-cora-GCN,FPR_strong-graph-lset-cora-GCN,TPR_strong-graph-lset-cora-GCN
43,,,0.1,0.532,,
44,,,0.1,0.548,,
45,,,0.104,0.548,,
46,,,0.104,0.56,,
47,,,0.116,0.56,,
48,,,0.116,0.564,,
49,,,0.12,0.564,,
50,,,0.12,0.568,,
51,,,0.124,0.568,,
52,,,0.124,0.576,,
53,,,0.128,0.576,,
54,,,0.128,0.58,,
55,,,0.132,0.58,,
56,,,0.132,0.584,,
57,,,0.136,0.584,,
58,,,0.136,0.588,,
59,,,0.14,0.588,,
60,,,0.14,0.596,,
61,,,0.144,0.596,,
62,,,0.144,0.612,,
63,,,0.148,0.612,,
64,,,0.148,0.616,,
65,,,0.152,0.616,,
66,,,0.152,0.628,,
67,,,0.156,0.628,,
68,,,0.156,0.632,,
69,,,0.164,0.632,,
70,,,0.164,0.656,,
71,,,0.168,0.656,,
72,,,0.168,0.66,,
73,,,0.176,0.66,,
74,,,0.176,0.672,,
75,,,0.18,0.672,,
76,,,0.18,0.68,,
77,,,0.188,0.68,,
78,,,0.188,0.684,,
79,,,0.22,0.684,,
80,,,0.22,0.688,,
81,,,0.224,0.688,,
82,,,0.224,0.696,,
83,,,0.228,0.696,,
84,,,0.228,0.716,,
85,,,0.24,0.716,,
86,,,0.24,0.72,,
87,,,0.244,0.72,,
88,,,0.244,0.736,,
89,,,0.252,0.736,,
90,,,0.252,0.744,,
91,,,0.26,0.744,,
92,,,0.26,0.748,,
93,,,0.276,0.748,,
94,,,0.276,0.752,,
95,,,0.28,0.752,,
96,,,0.28,0.756,,
97,,,0.284,0.756,,
98,,,0.284,0.76,,
99,,,0.292,0.76,,
100,,,0.292,0.772,,
101,,,0.3,0.772,,
102,,,0.3,0.776,,
103,,,0.304,0.776,,
104,,,0.304,0.78,,
105,,,0.308,0.78,,
106,,,0.308,0.784,,
107,,,0.316,0.784,,
108,,,0.316,0.792,,
109,,,0.32,0.792,,
110,,,0.32,0.796,,
111,,,0.324,0.796,,
112,,,0.324,0.8,,
113,,,0.332,0.8,,
114,,,0.332,0.808,,
115,,,0.344,0.808,,
116,,,0.344,0.812,,
117,,,0.352,0.812,,
118,,,0.352,0.82,,
119,,,0.356,0.82,,
120,,,0.356,0.824,,
121,,,0.36,0.824,,
122,,,0.36,0.832,,
123,,,0.376,0.832,,
124,,,0.376,0.836,,
125,,,0.384,0.836,,
126,,,0.384,0.84,,
127,,,0.392,0.84,,
128,,,0.392,0.848,,
129,,,0.396,0.848,,
130,,,0.396,0.852,,
131,,,0.404,0.852,,
132,,,0.404,0.856,,
133,,,0.412,0.856,,
134,,,0.412,0.86,,
135,,,0.428,0.86,,
136,,,0.428,0.868,,
137,,,0.436,0.868,,
138,,,0.436,0.872,,
139,,,0.452,0.872,,
140,,,0.452,0.876,,
141,,,0.456,0.876,,
142,,,0.456,0.88,,
143,,,0.46,0.88,,
144,,,0.46,0.892,,
145,,,0.468,0.892,,
146,,,0.468,0.896,,
147,,,0.488,0.896,,
148,,,0.488,0.9,,
149,,,0.492,0.9,,
150,,,0.492,0.916,,
151,,,0.496,0.916,,
152,,,0.496,0.924,,
153,,,0.5,0.924,,
154,,,0.5,0.928,,
155,,,0.508,0.928,,
156,,,0.508,0.932,,
157,,,0.548,0.932,,
158,,,0.548,0.936,,
159,,,0.552,0.936,,
160,,,0.552,0.94,,
161,,,0.564,0.94,,
162,,,0.564,0.944,,
163,,,0.568,0.944,,
164,,,0.568,0.948,,
165,,,0.588,0.948,,
166,,,0.588,0.952,,
167,,,0.6,0.952,,
168,,,0.6,0.956,,
169,,,0.616,0.956,,
170,,,0.616,0.96,,
171,,,0.624,0.96,,
172,,,0.624,0.964,,
173,,,0.636,0.964,,
174,,,0.636,0.968,,
175,,,0.648,0.968,,
176,,,0.648,0.972,,
177,,,0.676,0.972,,
178,,,0.676,0.976,,
179,,,0.736,0.976,,
180,,,0.736,0.98,,
181,,,0.74,0.98,,
182,,,0.74,0.984,,
183,,,0.784,0.984,,
184,,,0.784,0.988,,
185,,,0.788,0.988,,
186,,,0.788,0.992,,
187,,,0.792,0.992,,
188,,,0.792,0.996,,
189,,,0.96,0.996,,
190,,,0.96,1.0,,
191,,,1.0,1.0,,
0,,,,,0.0,0.0
1,,,,,0.0,0.004
2,,,,,0.0,0.12
3,,,,,0.004,0.12
4,,,,,0.004,0.164
5,,,,,0.008,0.164
6,,,,,0.008,0.264
7,,,,,0.016,0.264
8,,,,,0.016,0.296
9,,,,,0.02,0.296
