,train_acc,test_acc,AUC,TPR@0.01FPR
lset-cora-GCN,0.9175 (0.0065),0.7972 (0.0109),0.8237 (0.0144),0.1688 (0.0406)
strong-lset-cora-GCN,0.9175 (0.0065),0.7972 (0.0109),0.8168 (0.0178),0.1828 (0.0424)
strong-graph-lset-cora-GCN,0.9175 (0.0065),0.7972 (0.0109),0.8269 (0.0213),0.2072 (0.0641)
