,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9974 (0.0000),0.9046 (0.0000),0.5449 (0.0000),0.0183 (0.0000),0.1397 (0.0000),0.0058 (0.0000),0.1956 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9974 (0.0000),0.9046 (0.0000),0.5200 (0.0000),0.0183 (0.0000),2.5490 (0.0000),0.0021 (0.0000),4.2044 (0.0000)
amazon-photo-GAT_lira,0.9974 (0.0000),0.9046 (0.0000),0.5733 (0.0000),0.0507 (0.0000),1.7547 (0.0000),0.0220 (0.0000),4.2546 (0.0000)
amazon-photo-GAT_rmia,0.9974 (0.0000),0.9046 (0.0000),0.5657 (0.0000),0.0241 (0.0000),0.9180 (0.0000),0.0042 (0.0000),0.9495 (0.0000)
amazon-photo-GAT_lset,0.9974 (0.0000),0.9046 (0.0000),0.5657 (0.0000),0.0241 (0.0000),0.6797 (0.0000),0.0042 (0.0000),0.7996 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9974 (0.0000),0.9046 (0.0000),0.5540 (0.0000),0.0356 (0.0000),0.5419 (0.0000),0.0084 (0.0000),0.6380 (0.0000)
amazon-photo-GAT_lira-offline,0.9974 (0.0000),0.9046 (0.0000),0.5713 (0.0000),0.0403 (0.0000),-0.0020 (0.0000),0.0120 (0.0000),-0.0000 (0.0000)
amazon-photo-GAT_rmia-offline,0.9974 (0.0000),0.9046 (0.0000),0.5673 (0.0000),0.0424 (0.0000),0.8430 (0.0000),0.0084 (0.0000),0.8944 (0.0000)
amazon-photo-GAT_lset-offline,0.9974 (0.0000),0.9046 (0.0000),0.5673 (0.0000),0.0382 (0.0000),0.5887 (0.0000),0.0078 (0.0000),0.7243 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9974 (0.0000),0.9046 (0.0000),0.5761 (0.0000),0.0502 (0.0000),0.5788 (0.0000),0.0204 (0.0000),0.6961 (0.0000)
