,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9956 (0.0000),0.9001 (0.0000),0.5473 (0.0000),0.0194 (0.0000),0.3202 (0.0000),0.0073 (0.0000),0.4199 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9956 (0.0000),0.9001 (0.0000),0.5093 (0.0000),0.0152 (0.0000),1.7141 (0.0000),0.0016 (0.0000),2.6442 (0.0000)
amazon-photo-GAT_lira,0.9956 (0.0000),0.9001 (0.0000),0.5848 (0.0000),0.0664 (0.0000),1.5887 (0.0000),0.0314 (0.0000),2.7999 (0.0000)
amazon-photo-GAT_rmia,0.9956 (0.0000),0.9001 (0.0000),0.5584 (0.0000),0.0324 (0.0000),0.9166 (0.0000),0.0000 (0.0000),0.9859 (0.0000)
amazon-photo-GAT_lset,0.9956 (0.0000),0.9001 (0.0000),0.5584 (0.0000),0.0324 (0.0000),0.7124 (0.0000),0.0000 (0.0000),0.9868 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9956 (0.0000),0.9001 (0.0000),0.5414 (0.0000),0.0439 (0.0000),0.5332 (0.0000),0.0084 (0.0000),0.6341 (0.0000)
amazon-photo-GAT_lira-offline,0.9956 (0.0000),0.9001 (0.0000),0.5714 (0.0000),0.0596 (0.0000),-0.0042 (0.0000),0.0225 (0.0000),-0.0003 (0.0000)
amazon-photo-GAT_rmia-offline,0.9956 (0.0000),0.9001 (0.0000),0.5492 (0.0000),0.0460 (0.0000),0.9235 (0.0000),0.0021 (0.0000),0.9757 (0.0000)
amazon-photo-GAT_lset-offline,0.9956 (0.0000),0.9001 (0.0000),0.5588 (0.0000),0.0460 (0.0000),0.5815 (0.0000),0.0021 (0.0000),0.8322 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9956 (0.0000),0.9001 (0.0000),0.5602 (0.0000),0.0554 (0.0000),0.5887 (0.0000),0.0194 (0.0000),0.7322 (0.0000)
