,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9974 (0.0000),0.9153 (0.0000),0.5468 (0.0000),0.0256 (0.0000),0.2659 (0.0000),0.0052 (0.0000),0.4576 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9974 (0.0000),0.9153 (0.0000),0.5170 (0.0000),0.0073 (0.0000),2.2358 (0.0000),0.0037 (0.0000),2.8433 (0.0000)
amazon-photo-GAT_lira,0.9974 (0.0000),0.9153 (0.0000),0.5906 (0.0000),0.0753 (0.0000),1.3092 (0.0000),0.0397 (0.0000),2.4836 (0.0000)
amazon-photo-GAT_rmia,0.9974 (0.0000),0.9153 (0.0000),0.5725 (0.0000),0.0188 (0.0000),0.9199 (0.0000),0.0016 (0.0000),0.9553 (0.0000)
amazon-photo-GAT_lset,0.9974 (0.0000),0.9153 (0.0000),0.5725 (0.0000),0.0188 (0.0000),0.7030 (0.0000),0.0016 (0.0000),0.8363 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9974 (0.0000),0.9153 (0.0000),0.5446 (0.0000),0.0335 (0.0000),0.5387 (0.0000),0.0136 (0.0000),0.5783 (0.0000)
amazon-photo-GAT_lira-offline,0.9974 (0.0000),0.9153 (0.0000),0.5805 (0.0000),0.0549 (0.0000),-0.0049 (0.0000),0.0225 (0.0000),-0.0003 (0.0000)
amazon-photo-GAT_rmia-offline,0.9974 (0.0000),0.9153 (0.0000),0.5768 (0.0000),0.0403 (0.0000),0.8331 (0.0000),0.0162 (0.0000),0.8637 (0.0000)
amazon-photo-GAT_lset-offline,0.9974 (0.0000),0.9153 (0.0000),0.5796 (0.0000),0.0350 (0.0000),0.5774 (0.0000),0.0131 (0.0000),0.6578 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9974 (0.0000),0.9153 (0.0000),0.5712 (0.0000),0.0554 (0.0000),0.5711 (0.0000),0.0235 (0.0000),0.6772 (0.0000)
