,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9987 (0.0000),0.9114 (0.0000),0.5390 (0.0000),0.0194 (0.0000),0.3566 (0.0000),0.0058 (0.0000),0.5429 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9987 (0.0000),0.9114 (0.0000),0.5032 (0.0000),0.0094 (0.0000),2.0945 (0.0000),0.0026 (0.0000),3.8764 (0.0000)
amazon-photo-GAT_lira,0.9987 (0.0000),0.9114 (0.0000),0.5866 (0.0000),0.0513 (0.0000),1.8953 (0.0000),0.0225 (0.0000),4.5728 (0.0000)
amazon-photo-GAT_rmia,0.9987 (0.0000),0.9114 (0.0000),0.5561 (0.0000),0.0220 (0.0000),0.9205 (0.0000),0.0042 (0.0000),0.9466 (0.0000)
amazon-photo-GAT_lset,0.9987 (0.0000),0.9114 (0.0000),0.5561 (0.0000),0.0220 (0.0000),0.6961 (0.0000),0.0042 (0.0000),0.7923 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9987 (0.0000),0.9114 (0.0000),0.5472 (0.0000),0.0397 (0.0000),0.5354 (0.0000),0.0047 (0.0000),0.6565 (0.0000)
amazon-photo-GAT_lira-offline,0.9987 (0.0000),0.9114 (0.0000),0.5716 (0.0000),0.0554 (0.0000),-0.0034 (0.0000),0.0199 (0.0000),-0.0001 (0.0000)
amazon-photo-GAT_rmia-offline,0.9987 (0.0000),0.9114 (0.0000),0.5476 (0.0000),0.0366 (0.0000),0.8639 (0.0000),0.0120 (0.0000),0.8980 (0.0000)
amazon-photo-GAT_lset-offline,0.9987 (0.0000),0.9114 (0.0000),0.5609 (0.0000),0.0371 (0.0000),0.5418 (0.0000),0.0115 (0.0000),0.5983 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9987 (0.0000),0.9114 (0.0000),0.5725 (0.0000),0.0502 (0.0000),0.5766 (0.0000),0.0141 (0.0000),0.7549 (0.0000)
