,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9243 (0.0000),0.8481 (0.0000),0.5217 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9243 (0.0000),0.8481 (0.0000),0.5444 (0.0000),0.0229 (0.0000),0.6030 (0.0000),0.0051 (0.0000),0.6713 (0.0000)
github-GraphSAGE_lset-offline,0.9243 (0.0000),0.8481 (0.0000),0.5423 (0.0000),0.0239 (0.0000),0.6216 (0.0000),0.0044 (0.0000),0.7246 (0.0000)
github-GraphSAGE_rmia,0.9243 (0.0000),0.8481 (0.0000),0.5444 (0.0000),0.0229 (0.0000),0.9422 (0.0000),0.0051 (0.0000),0.9791 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9243 (0.0000),0.8481 (0.0000),0.5444 (0.0000),0.0229 (0.0000),0.0924 (0.0000),0.0051 (0.0000),0.5590 (0.0000)
github-GraphSAGE_rmia-offline,0.9243 (0.0000),0.8481 (0.0000),0.5424 (0.0000),0.0240 (0.0000),0.9567 (0.0000),0.0047 (0.0000),0.9872 (0.0000)
github-GraphSAGE_lira,0.9243 (0.0000),0.8481 (0.0000),0.5053 (0.0000),0.0115 (0.0000),19.1147 (0.0000),0.0012 (0.0000),98.5326 (0.0000)
github-GraphSAGE_lira-offline,0.9243 (0.0000),0.8481 (0.0000),0.5369 (0.0000),0.0124 (0.0000),-0.0000 (0.0000),0.0014 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9243 (0.0000),0.8481 (0.0000),0.4975 (0.0000),0.0129 (0.0000),0.2149 (0.0000),0.0012 (0.0000),0.2854 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9243 (0.0000),0.8481 (0.0000),0.4967 (0.0000),0.0095 (0.0000),0.0283 (0.0000),0.0010 (0.0000),0.0823 (0.0000)
github-GraphSAGE_confidence,0.9243 (0.0000),0.8481 (0.0000),0.5124 (0.0000),0.0134 (0.0000),0.9986 (0.0000),0.0011 (0.0000),0.9999 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9243 (0.0000),0.8481 (0.0000),0.5782 (0.0000),0.0280 (0.0000),0.6232 (0.0000),0.0044 (0.0000),0.7082 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9243 (0.0000),0.8481 (0.0000),0.5758 (0.0000),0.0309 (0.0000),0.6168 (0.0000),0.0086 (0.0000),0.6835 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9243 (0.0000),0.8481 (0.0000),0.5855 (0.0000),0.0271 (0.0000),0.6603 (0.0000),0.0036 (0.0000),0.7773 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9243 (0.0000),0.8481 (0.0000),0.5769 (0.0000),0.0275 (0.0000),0.6809 (0.0000),0.0032 (0.0000),0.8008 (0.0000)
