,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9425 (0.0000),0.8424 (0.0000),0.5295 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9425 (0.0000),0.8424 (0.0000),0.5477 (0.0000),0.0251 (0.0000),0.6352 (0.0000),0.0048 (0.0000),0.7364 (0.0000)
github-GraphSAGE_lset-offline,0.9425 (0.0000),0.8424 (0.0000),0.5446 (0.0000),0.0238 (0.0000),0.6096 (0.0000),0.0044 (0.0000),0.7277 (0.0000)
github-GraphSAGE_rmia,0.9425 (0.0000),0.8424 (0.0000),0.5477 (0.0000),0.0251 (0.0000),0.9475 (0.0000),0.0048 (0.0000),0.9806 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9425 (0.0000),0.8424 (0.0000),0.5477 (0.0000),0.0251 (0.0000),0.2160 (0.0000),0.0048 (0.0000),0.9058 (0.0000)
github-GraphSAGE_rmia-offline,0.9425 (0.0000),0.8424 (0.0000),0.5453 (0.0000),0.0239 (0.0000),0.9421 (0.0000),0.0044 (0.0000),0.9771 (0.0000)
github-GraphSAGE_lira,0.9425 (0.0000),0.8424 (0.0000),0.5089 (0.0000),0.0119 (0.0000),15.1814 (0.0000),0.0014 (0.0000),98.6652 (0.0000)
github-GraphSAGE_lira-offline,0.9425 (0.0000),0.8424 (0.0000),0.5377 (0.0000),0.0151 (0.0000),-0.0000 (0.0000),0.0019 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9425 (0.0000),0.8424 (0.0000),0.4960 (0.0000),0.0098 (0.0000),0.5598 (0.0000),0.0010 (0.0000),0.8014 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9425 (0.0000),0.8424 (0.0000),0.5039 (0.0000),0.0094 (0.0000),0.1393 (0.0000),0.0014 (0.0000),0.2473 (0.0000)
github-GraphSAGE_confidence,0.9425 (0.0000),0.8424 (0.0000),0.5158 (0.0000),0.0083 (0.0000),0.9993 (0.0000),0.0011 (0.0000),0.9999 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9425 (0.0000),0.8424 (0.0000),0.5926 (0.0000),0.0343 (0.0000),0.6152 (0.0000),0.0072 (0.0000),0.6981 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9425 (0.0000),0.8424 (0.0000),0.5843 (0.0000),0.0356 (0.0000),0.6082 (0.0000),0.0068 (0.0000),0.6918 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9425 (0.0000),0.8424 (0.0000),0.5922 (0.0000),0.0385 (0.0000),0.6579 (0.0000),0.0077 (0.0000),0.7748 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9425 (0.0000),0.8424 (0.0000),0.5899 (0.0000),0.0366 (0.0000),0.6743 (0.0000),0.0074 (0.0000),0.8102 (0.0000)
