,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9620 (0.0000),0.8294 (0.0000),0.5283 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9620 (0.0000),0.8294 (0.0000),0.5547 (0.0000),0.0256 (0.0000),0.6298 (0.0000),0.0067 (0.0000),0.7085 (0.0000)
github-GraphSAGE_lset-offline,0.9620 (0.0000),0.8294 (0.0000),0.5525 (0.0000),0.0296 (0.0000),0.6454 (0.0000),0.0065 (0.0000),0.7622 (0.0000)
github-GraphSAGE_rmia,0.9620 (0.0000),0.8294 (0.0000),0.5547 (0.0000),0.0255 (0.0000),0.9371 (0.0000),0.0067 (0.0000),0.9706 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9620 (0.0000),0.8294 (0.0000),0.5547 (0.0000),0.0256 (0.0000),0.1681 (0.0000),0.0067 (0.0000),0.8280 (0.0000)
github-GraphSAGE_rmia-offline,0.9620 (0.0000),0.8294 (0.0000),0.5523 (0.0000),0.0286 (0.0000),0.9444 (0.0000),0.0053 (0.0000),0.9792 (0.0000)
github-GraphSAGE_lira,0.9620 (0.0000),0.8294 (0.0000),0.5189 (0.0000),0.0100 (0.0000),21.3132 (0.0000),0.0012 (0.0000),117.4912 (0.0000)
github-GraphSAGE_lira-offline,0.9620 (0.0000),0.8294 (0.0000),0.5396 (0.0000),0.0115 (0.0000),-0.0000 (0.0000),0.0008 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9620 (0.0000),0.8294 (0.0000),0.5040 (0.0000),0.0105 (0.0000),0.7707 (0.0000),0.0005 (0.0000),1.0820 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9620 (0.0000),0.8294 (0.0000),0.5038 (0.0000),0.0131 (0.0000),0.4214 (0.0000),0.0014 (0.0000),0.5445 (0.0000)
github-GraphSAGE_confidence,0.9620 (0.0000),0.8294 (0.0000),0.5125 (0.0000),0.0089 (0.0000),0.9999 (0.0000),0.0012 (0.0000),1.0000 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9620 (0.0000),0.8294 (0.0000),0.5867 (0.0000),0.0299 (0.0000),0.6517 (0.0000),0.0048 (0.0000),0.7595 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9620 (0.0000),0.8294 (0.0000),0.5871 (0.0000),0.0300 (0.0000),0.6418 (0.0000),0.0087 (0.0000),0.7242 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9620 (0.0000),0.8294 (0.0000),0.5886 (0.0000),0.0395 (0.0000),0.6799 (0.0000),0.0090 (0.0000),0.7980 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9620 (0.0000),0.8294 (0.0000),0.5903 (0.0000),0.0376 (0.0000),0.7067 (0.0000),0.0073 (0.0000),0.8432 (0.0000)
