,train_acc,test_acc,AUC,TPR@0.01FPR
lset-cora-GCN,0.9217 (0.0000),0.7969 (0.0000),0.8133 (0.0000),0.1240 (0.0000)
bayes-optimal-cora-GCN-MCMC-small,0.9217 (0.0000),0.7969 (0.0000),0.7892 (0.0000),0.0960 (0.0000)
bayes-optimal-cora-GCN-MCMC-large,0.9217 (0.0000),0.7969 (0.0000),0.7973 (0.0000),0.0800 (0.0000)
