,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5629 (0.0000),0.4745 (0.0000),0.5067 (0.0000),0.0074 (0.0000),-0.0067 (0.0000),0.0013 (0.0000),-0.0011 (0.0000)
flickr-GCN_MLP-attack-comb,0.5629 (0.0000),0.4745 (0.0000),0.5101 (0.0000),0.0105 (0.0000),0.0253 (0.0000),0.0025 (0.0000),0.0346 (0.0000)
flickr-GCN_lira,0.5629 (0.0000),0.4745 (0.0000),0.5438 (0.0000),0.0220 (0.0000),0.9295 (0.0000),0.0016 (0.0000),2.5537 (0.0000)
flickr-GCN_rmia,0.5629 (0.0000),0.4745 (0.0000),0.5534 (0.0000),0.0190 (0.0000),0.7440 (0.0000),0.0034 (0.0000),0.8256 (0.0000)
flickr-GCN_lset,0.5629 (0.0000),0.4745 (0.0000),0.5534 (0.0000),0.0190 (0.0000),0.8368 (0.0000),0.0034 (0.0000),0.9354 (0.0000)
flickr-GCN_graph-lset-MI,0.5629 (0.0000),0.4745 (0.0000),0.5982 (0.0000),0.0262 (0.0000),0.6102 (0.0000),0.0092 (0.0000),0.6614 (0.0000)
flickr-GCN_lira-offline,0.5629 (0.0000),0.4745 (0.0000),0.5527 (0.0000),0.0215 (0.0000),-0.0156 (0.0000),0.0034 (0.0000),-0.0010 (0.0000)
flickr-GCN_rmia-offline,0.5629 (0.0000),0.4745 (0.0000),0.5537 (0.0000),0.0226 (0.0000),0.7624 (0.0000),0.0034 (0.0000),0.8520 (0.0000)
flickr-GCN_lset-offline,0.5629 (0.0000),0.4745 (0.0000),0.5533 (0.0000),0.0222 (0.0000),0.7925 (0.0000),0.0036 (0.0000),0.9166 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5629 (0.0000),0.4745 (0.0000),0.6065 (0.0000),0.0287 (0.0000),0.6141 (0.0000),0.0027 (0.0000),0.7246 (0.0000)
