,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5757 (0.0000),0.4686 (0.0000),0.5045 (0.0000),0.0096 (0.0000),0.0149 (0.0000),0.0016 (0.0000),0.0179 (0.0000)
flickr-GCN_MLP-attack-comb,0.5757 (0.0000),0.4686 (0.0000),0.5020 (0.0000),0.0103 (0.0000),0.0223 (0.0000),0.0002 (0.0000),0.0402 (0.0000)
flickr-GCN_lira,0.5757 (0.0000),0.4686 (0.0000),0.5574 (0.0000),0.0206 (0.0000),1.0819 (0.0000),0.0036 (0.0000),1.9374 (0.0000)
flickr-GCN_rmia,0.5757 (0.0000),0.4686 (0.0000),0.5587 (0.0000),0.0177 (0.0000),0.7569 (0.0000),0.0040 (0.0000),0.8149 (0.0000)
flickr-GCN_lset,0.5757 (0.0000),0.4686 (0.0000),0.5587 (0.0000),0.0177 (0.0000),0.8457 (0.0000),0.0040 (0.0000),0.9188 (0.0000)
flickr-GCN_graph-lset-MI,0.5757 (0.0000),0.4686 (0.0000),0.5945 (0.0000),0.0338 (0.0000),0.6255 (0.0000),0.0054 (0.0000),0.7011 (0.0000)
flickr-GCN_lira-offline,0.5757 (0.0000),0.4686 (0.0000),0.5657 (0.0000),0.0211 (0.0000),-0.0072 (0.0000),0.0052 (0.0000),-0.0009 (0.0000)
flickr-GCN_rmia-offline,0.5757 (0.0000),0.4686 (0.0000),0.5596 (0.0000),0.0179 (0.0000),0.7847 (0.0000),0.0036 (0.0000),0.8504 (0.0000)
flickr-GCN_lset-offline,0.5757 (0.0000),0.4686 (0.0000),0.5578 (0.0000),0.0193 (0.0000),0.7760 (0.0000),0.0031 (0.0000),0.8772 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5757 (0.0000),0.4686 (0.0000),0.6055 (0.0000),0.0323 (0.0000),0.6336 (0.0000),0.0038 (0.0000),0.7507 (0.0000)
