,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5628 (0.0000),0.4753 (0.0000),0.5073 (0.0000),0.0117 (0.0000),0.0086 (0.0000),0.0016 (0.0000),0.0118 (0.0000)
flickr-GCN_MLP-attack-comb,0.5628 (0.0000),0.4753 (0.0000),0.5185 (0.0000),0.0072 (0.0000),0.0176 (0.0000),0.0011 (0.0000),0.0272 (0.0000)
flickr-GCN_lira,0.5628 (0.0000),0.4753 (0.0000),0.5417 (0.0000),0.0184 (0.0000),0.9469 (0.0000),0.0038 (0.0000),1.7227 (0.0000)
flickr-GCN_rmia,0.5628 (0.0000),0.4753 (0.0000),0.5541 (0.0000),0.0168 (0.0000),0.7415 (0.0000),0.0029 (0.0000),0.8089 (0.0000)
flickr-GCN_lset,0.5628 (0.0000),0.4753 (0.0000),0.5541 (0.0000),0.0168 (0.0000),0.8416 (0.0000),0.0029 (0.0000),0.9231 (0.0000)
flickr-GCN_graph-lset-MI,0.5628 (0.0000),0.4753 (0.0000),0.5843 (0.0000),0.0300 (0.0000),0.6087 (0.0000),0.0054 (0.0000),0.6738 (0.0000)
flickr-GCN_lira-offline,0.5628 (0.0000),0.4753 (0.0000),0.5561 (0.0000),0.0195 (0.0000),-0.0135 (0.0000),0.0040 (0.0000),-0.0023 (0.0000)
flickr-GCN_rmia-offline,0.5628 (0.0000),0.4753 (0.0000),0.5546 (0.0000),0.0146 (0.0000),0.7698 (0.0000),0.0029 (0.0000),0.8421 (0.0000)
flickr-GCN_lset-offline,0.5628 (0.0000),0.4753 (0.0000),0.5535 (0.0000),0.0173 (0.0000),0.7671 (0.0000),0.0031 (0.0000),0.8810 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5628 (0.0000),0.4753 (0.0000),0.5910 (0.0000),0.0343 (0.0000),0.6020 (0.0000),0.0061 (0.0000),0.6940 (0.0000)
