,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5715 (0.0000),0.4735 (0.0000),0.4930 (0.0000),0.0078 (0.0000),-0.0115 (0.0000),0.0009 (0.0000),-0.0026 (0.0000)
flickr-GCN_MLP-attack-comb,0.5715 (0.0000),0.4735 (0.0000),0.5022 (0.0000),0.0105 (0.0000),0.0362 (0.0000),0.0016 (0.0000),0.0494 (0.0000)
flickr-GCN_lira,0.5715 (0.0000),0.4735 (0.0000),0.5515 (0.0000),0.0195 (0.0000),0.9882 (0.0000),0.0040 (0.0000),1.7870 (0.0000)
flickr-GCN_rmia,0.5715 (0.0000),0.4735 (0.0000),0.5684 (0.0000),0.0222 (0.0000),0.7416 (0.0000),0.0038 (0.0000),0.8092 (0.0000)
flickr-GCN_lset,0.5715 (0.0000),0.4735 (0.0000),0.5684 (0.0000),0.0222 (0.0000),0.8278 (0.0000),0.0038 (0.0000),0.9148 (0.0000)
flickr-GCN_graph-lset-MI,0.5715 (0.0000),0.4735 (0.0000),0.5949 (0.0000),0.0305 (0.0000),0.6202 (0.0000),0.0078 (0.0000),0.6790 (0.0000)
flickr-GCN_lira-offline,0.5715 (0.0000),0.4735 (0.0000),0.5709 (0.0000),0.0226 (0.0000),-0.0099 (0.0000),0.0027 (0.0000),-0.0007 (0.0000)
flickr-GCN_rmia-offline,0.5715 (0.0000),0.4735 (0.0000),0.5706 (0.0000),0.0249 (0.0000),0.7701 (0.0000),0.0063 (0.0000),0.8344 (0.0000)
flickr-GCN_lset-offline,0.5715 (0.0000),0.4735 (0.0000),0.5692 (0.0000),0.0251 (0.0000),0.7972 (0.0000),0.0065 (0.0000),0.8877 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5715 (0.0000),0.4735 (0.0000),0.6060 (0.0000),0.0282 (0.0000),0.6334 (0.0000),0.0067 (0.0000),0.7043 (0.0000)
