,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5815 (0.0000),0.4734 (0.0000),0.5009 (0.0000),0.0094 (0.0000),0.0054 (0.0000),0.0007 (0.0000),0.0073 (0.0000)
flickr-GCN_MLP-attack-comb,0.5815 (0.0000),0.4734 (0.0000),0.5133 (0.0000),0.0110 (0.0000),0.0214 (0.0000),0.0013 (0.0000),0.0341 (0.0000)
flickr-GCN_lira,0.5815 (0.0000),0.4734 (0.0000),0.5521 (0.0000),0.0157 (0.0000),1.0734 (0.0000),0.0011 (0.0000),2.7960 (0.0000)
flickr-GCN_rmia,0.5815 (0.0000),0.4734 (0.0000),0.5636 (0.0000),0.0231 (0.0000),0.7498 (0.0000),0.0040 (0.0000),0.8233 (0.0000)
flickr-GCN_lset,0.5815 (0.0000),0.4734 (0.0000),0.5636 (0.0000),0.0231 (0.0000),0.8368 (0.0000),0.0040 (0.0000),0.9272 (0.0000)
flickr-GCN_graph-lset-MI,0.5815 (0.0000),0.4734 (0.0000),0.6156 (0.0000),0.0374 (0.0000),0.6185 (0.0000),0.0040 (0.0000),0.7195 (0.0000)
flickr-GCN_lira-offline,0.5815 (0.0000),0.4734 (0.0000),0.5614 (0.0000),0.0137 (0.0000),-0.0077 (0.0000),0.0020 (0.0000),-0.0006 (0.0000)
flickr-GCN_rmia-offline,0.5815 (0.0000),0.4734 (0.0000),0.5656 (0.0000),0.0276 (0.0000),0.7741 (0.0000),0.0027 (0.0000),0.8659 (0.0000)
flickr-GCN_lset-offline,0.5815 (0.0000),0.4734 (0.0000),0.5640 (0.0000),0.0269 (0.0000),0.7875 (0.0000),0.0036 (0.0000),0.9166 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5815 (0.0000),0.4734 (0.0000),0.6191 (0.0000),0.0282 (0.0000),0.6316 (0.0000),0.0061 (0.0000),0.7190 (0.0000)
