,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9976 (0.0000),0.9007 (0.0000),0.5294 (0.0000),0.0194 (0.0000),0.1618 (0.0000),0.0042 (0.0000),0.3600 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9976 (0.0000),0.9007 (0.0000),0.5167 (0.0000),0.0141 (0.0000),1.4460 (0.0000),0.0005 (0.0000),2.2195 (0.0000)
amazon-photo-GAT_lira,0.9976 (0.0000),0.9007 (0.0000),0.5869 (0.0000),0.0680 (0.0000),1.1838 (0.0000),0.0314 (0.0000),2.8505 (0.0000)
amazon-photo-GAT_rmia,0.9976 (0.0000),0.9007 (0.0000),0.5472 (0.0000),0.0277 (0.0000),0.9131 (0.0000),0.0042 (0.0000),0.9553 (0.0000)
amazon-photo-GAT_lset,0.9976 (0.0000),0.9007 (0.0000),0.5472 (0.0000),0.0277 (0.0000),0.6763 (0.0000),0.0042 (0.0000),0.8307 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9976 (0.0000),0.9007 (0.0000),0.5532 (0.0000),0.0471 (0.0000),0.5203 (0.0000),0.0126 (0.0000),0.6136 (0.0000)
amazon-photo-GAT_lira-offline,0.9976 (0.0000),0.9007 (0.0000),0.5710 (0.0000),0.0596 (0.0000),-0.0120 (0.0000),0.0225 (0.0000),-0.0009 (0.0000)
amazon-photo-GAT_rmia-offline,0.9976 (0.0000),0.9007 (0.0000),0.5438 (0.0000),0.0413 (0.0000),0.8938 (0.0000),0.0084 (0.0000),0.9403 (0.0000)
amazon-photo-GAT_lset-offline,0.9976 (0.0000),0.9007 (0.0000),0.5477 (0.0000),0.0403 (0.0000),0.5467 (0.0000),0.0089 (0.0000),0.6458 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9976 (0.0000),0.9007 (0.0000),0.5646 (0.0000),0.0549 (0.0000),0.5522 (0.0000),0.0173 (0.0000),0.7231 (0.0000)
