,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9974 (0.0000),0.9067 (0.0000),0.5203 (0.0000),0.0178 (0.0000),0.3972 (0.0000),0.0042 (0.0000),0.6927 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9974 (0.0000),0.9067 (0.0000),0.5021 (0.0000),0.0094 (0.0000),1.8168 (0.0000),0.0026 (0.0000),2.7410 (0.0000)
amazon-photo-GAT_lira,0.9974 (0.0000),0.9067 (0.0000),0.5884 (0.0000),0.0539 (0.0000),1.1990 (0.0000),0.0324 (0.0000),2.8010 (0.0000)
amazon-photo-GAT_rmia,0.9974 (0.0000),0.9067 (0.0000),0.5524 (0.0000),0.0230 (0.0000),0.9178 (0.0000),0.0005 (0.0000),0.9921 (0.0000)
amazon-photo-GAT_lset,0.9974 (0.0000),0.9067 (0.0000),0.5524 (0.0000),0.0230 (0.0000),0.6688 (0.0000),0.0005 (0.0000),0.9927 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9974 (0.0000),0.9067 (0.0000),0.5666 (0.0000),0.0554 (0.0000),0.5272 (0.0000),0.0126 (0.0000),0.6250 (0.0000)
amazon-photo-GAT_lira-offline,0.9974 (0.0000),0.9067 (0.0000),0.5713 (0.0000),0.0643 (0.0000),-0.0230 (0.0000),0.0235 (0.0000),-0.0013 (0.0000)
amazon-photo-GAT_rmia-offline,0.9974 (0.0000),0.9067 (0.0000),0.5502 (0.0000),0.0424 (0.0000),0.8427 (0.0000),0.0084 (0.0000),0.9063 (0.0000)
amazon-photo-GAT_lset-offline,0.9974 (0.0000),0.9067 (0.0000),0.5510 (0.0000),0.0418 (0.0000),0.6181 (0.0000),0.0068 (0.0000),0.9088 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9974 (0.0000),0.9067 (0.0000),0.5929 (0.0000),0.0758 (0.0000),0.5571 (0.0000),0.0340 (0.0000),0.6559 (0.0000)
