,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9963 (0.0000),0.9135 (0.0000),0.5623 (0.0000),0.0183 (0.0000),0.1780 (0.0000),0.0042 (0.0000),0.3158 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9963 (0.0000),0.9135 (0.0000),0.5352 (0.0000),0.0141 (0.0000),2.0105 (0.0000),0.0026 (0.0000),2.8107 (0.0000)
amazon-photo-GAT_lira,0.9963 (0.0000),0.9135 (0.0000),0.5990 (0.0000),0.0654 (0.0000),0.8910 (0.0000),0.0319 (0.0000),1.9695 (0.0000)
amazon-photo-GAT_rmia,0.9963 (0.0000),0.9135 (0.0000),0.5754 (0.0000),0.0220 (0.0000),0.9305 (0.0000),0.0005 (0.0000),0.9740 (0.0000)
amazon-photo-GAT_lset,0.9963 (0.0000),0.9135 (0.0000),0.5754 (0.0000),0.0220 (0.0000),0.7449 (0.0000),0.0005 (0.0000),0.9478 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9963 (0.0000),0.9135 (0.0000),0.5628 (0.0000),0.0277 (0.0000),0.5713 (0.0000),0.0115 (0.0000),0.6266 (0.0000)
amazon-photo-GAT_lira-offline,0.9963 (0.0000),0.9135 (0.0000),0.5851 (0.0000),0.0628 (0.0000),-0.0382 (0.0000),0.0335 (0.0000),-0.0079 (0.0000)
amazon-photo-GAT_rmia-offline,0.9963 (0.0000),0.9135 (0.0000),0.5698 (0.0000),0.0366 (0.0000),0.8594 (0.0000),0.0167 (0.0000),0.8864 (0.0000)
amazon-photo-GAT_lset-offline,0.9963 (0.0000),0.9135 (0.0000),0.5719 (0.0000),0.0345 (0.0000),0.5887 (0.0000),0.0173 (0.0000),0.6434 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9963 (0.0000),0.9135 (0.0000),0.5829 (0.0000),0.0418 (0.0000),0.6091 (0.0000),0.0183 (0.0000),0.7251 (0.0000)
