,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@est_threshold,FPR@est_threshold
citeseer-GAT_lira,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8506032052201036, 0.005921479687746975)","(0.15354993983152826, 0.03201143648242528)","(13.245234065289443, 3.5466300654585066)","(0.12779783393501803, 0.0098470625971017)","(0.007821901323706377, 0.0030084235860409147)"
citeseer-GAT_rmia,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8453160546280488, 0.006493945104983978)","(0.2407942238267148, 0.020339791453895986)","(0.8165814876556396, 0.012200273351811687)","(0.21456077015643804, 0.02364276437549883)","(0.008543922984356198, 0.002182714458148863)"
citeseer-GAT_base,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8453135928614561, 0.00649475224049686)","(0.24091456077015644, 0.02029952624207898)","(0.5811996817588806, 0.006557638845104159)","(0.2223826714801444, 0.011324467250078065)","(0.008664259927797834, 0.001049073151273327)"
citeseer-GAT_g-base-MIA,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8267789521852522, 0.005910599043030418)","(0.21034897713598072, 0.029024911541143363)","(0.5699791133403778, 0.006434797131697007)","(0.21853188929001202, 0.014974094084526865)","(0.011432009626955477, 0.002959897443140516)"
citeseer-GAT_lira-offline,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8416458502579787, 0.006507357450091617)","(0.18170878459687123, 0.022351595211801096)","(-2.671928380527636e-06, 4.27389824356229e-06)","(0.202647412755716, 0.008647530312020067)","(0.012154031287605296, 0.0030180351874812164)"
citeseer-GAT_rmia-offline,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8346667419677625, 0.007668227498403909)","(0.25379061371841155, 0.034153015306797964)","(0.775233018398285, 0.013250018218677991)","(0.23874849578820698, 0.009088427238748113)","(0.008904933814681108, 0.003237935992075502)"
citeseer-GAT_base-offline,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.8476935419173687, 0.008054853557999286)","(0.26016847172081825, 0.03376218029519751)","(0.5441322803497315, 0.0072917650848949465)","(0.2457280385078219, 0.010108303249097476)","(0.009747292418772561, 0.0021827144581488636)"
citeseer-GAT_g-base-MIA-offline,"(0.9209861785173417, 0.005522363580480964)","(0.7373197078704834, 0.009969262936909995)","(0.7857239259095141, 0.008627728892278462)","(0.16823104693140795, 0.027206796420667676)","(0.6960646986961365, 0.02164242935450511)","(0.15752105896510227, 0.007954080803687485)","(0.009747292418772565, 0.003112519171210003)"
