,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5009650668110381, 0.0)","(0.008963585434173669, 0.0)","(0.30905914306640625, 0.0)","(0.000784313725490196, 0.0)","(0.4944894015789032, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5036663198612779, 0.0)","(0.009411764705882352, 0.0)","(0.30738839507102966, 0.0)","(0.000896358543417367, 0.0)","(0.5387120246887207, 0.0)"
flickr-GAT_lira,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5063914193128232, 0.0)","(0.009523809523809525, 0.0)","(17.88527845214594, 0.0)","(0.000896358543417367, 0.0)","(117.10704048167172, 0.0)"
flickr-GAT_rmia,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.553073037842588, 0.0)","(0.019495798319327733, 0.0)","(0.8981764912605286, 0.0)","(0.002689075630252101, 0.0)","(0.9700980186462402, 0.0)"
flickr-GAT_base,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5530727930387842, 0.0)","(0.019495798319327733, 0.0)","(0.8251785039901733, 0.0)","(0.002689075630252101, 0.0)","(0.9441543221473694, 0.0)"
flickr-GAT_g-base-MI,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5909322976249324, 0.0)","(0.028011204481792718, 0.0)","(0.6467445492744446, 0.0)","(0.008291316526610644, 0.0)","(0.7207090258598328, 0.0)"
flickr-GAT_g-base-MIA,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5832150460184073, 0.0)","(0.023977591036414565, 0.0)","(0.6429347395896912, 0.0)","(0.00257703081232493, 0.0)","(0.7571784853935242, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5693376833086176, 0.0)","(0.02442577030812325, 0.0)","(0.7318410277366638, 0.0)","(0.0067226890756302525, 0.0)","(0.8464426398277283, 0.0)"
flickr-GAT_lira-offline,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5509960282152077, 0.0)","(0.009635854341736695, 0.0)","(-1.4334119446622547e-08, 0.0)","(0.000784313725490196, 0.0)","(-3.549082430079824e-48, 0.0)"
flickr-GAT_rmia-offline,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5532355499062369, 0.0)","(0.01815126050420168, 0.0)","(0.9394229650497437, 0.0)","(0.001792717086834734, 0.0)","(0.9893333315849304, 0.0)"
flickr-GAT_base-offline,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.552665747083147, 0.0)","(0.018263305322128852, 0.0)","(0.847540557384491, 0.0)","(0.0019047619047619048, 0.0)","(0.9630447626113892, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5638319253921509, 0.0)","(0.47762465476989746, 0.0)","(0.5900477336032453, 0.0)","(0.03282913165266106, 0.0)","(0.6576290726661682, 0.0)","(0.007619047619047619, 0.0)","(0.7746669054031372, 0.0)"
