,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5022404255819974, 0.0)","(0.012436974789915966, 0.0)","(0.0786479040980339, 0.0)","(0.0014565826330532213, 0.0)","(0.11221855878829956, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5002527505119695, 0.0)","(0.00773109243697479, 0.0)","(0.5998290777206421, 0.0)","(0.0004481792717086835, 0.0)","(0.8750021457672119, 0.0)"
flickr-GAT_lira,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5176770629820556, 0.0)","(0.011876750700280112, 0.0)","(16.9259993681342, 0.0)","(0.0013445378151260505, 0.0)","(86.00416982700506, 0.0)"
flickr-GAT_rmia,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5502150036485183, 0.0)","(0.0196078431372549, 0.0)","(0.8957254886627197, 0.0)","(0.001792717086834734, 0.0)","(0.9728066921234131, 0.0)"
flickr-GAT_base,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.550215104080848, 0.0)","(0.0196078431372549, 0.0)","(0.8126975297927856, 0.0)","(0.001792717086834734, 0.0)","(0.9448660016059875, 0.0)"
flickr-GAT_g-base-MI,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5984064904393129, 0.0)","(0.03170868347338936, 0.0)","(0.6481935381889343, 0.0)","(0.007619047619047619, 0.0)","(0.737183690071106, 0.0)"
flickr-GAT_g-base-MIA,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5906285902596333, 0.0)","(0.03081232492997199, 0.0)","(0.6369140148162842, 0.0)","(0.00649859943977591, 0.0)","(0.7258095741271973, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5703469654528479, 0.0)","(0.025546218487394957, 0.0)","(0.7396676540374756, 0.0)","(0.0033613445378151263, 0.0)","(0.930395781993866, 0.0)"
flickr-GAT_lira-offline,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5491310375130444, 0.0)","(0.0142296918767507, 0.0)","(-5.838193417610028e-07, 0.0)","(0.0016806722689075631, 0.0)","(-1.2945914499637956e-29, 0.0)"
flickr-GAT_rmia-offline,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5487381839010114, 0.0)","(0.021848739495798318, 0.0)","(0.9155938625335693, 0.0)","(0.0028011204481792717, 0.0)","(0.976008415222168, 0.0)"
flickr-GAT_base-offline,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5480014374377202, 0.0)","(0.020168067226890758, 0.0)","(0.8012643456459045, 0.0)","(0.0028011204481792717, 0.0)","(0.9415702223777771, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5800784230232239, 0.0)","(0.4821512699127197, 0.0)","(0.5988204411176234, 0.0)","(0.03294117647058824, 0.0)","(0.6656029224395752, 0.0)","(0.0056022408963585435, 0.0)","(0.8315157890319824, 0.0)"
