,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5017480372541173, 0.0)","(0.012100840336134453, 0.0)","(0.007791057229042053, 0.0)","(0.0024649859943977593, 0.0)","(0.03955932706594467, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5063733414934601, 0.0)","(0.013893557422969188, 0.0)","(0.31953004002571106, 0.0)","(0.0005602240896358543, 0.0)","(0.5290244817733765, 0.0)"
flickr-GAT_lira,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5082390101138494, 0.0)","(0.010868347338935574, 0.0)","(18.1894900360287, 0.0)","(0.0013445378151260505, 0.0)","(100.75246482332315, 0.0)"
flickr-GAT_rmia,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5570713430470228, 0.0)","(0.022745098039215685, 0.0)","(0.8973949551582336, 0.0)","(0.0016806722689075631, 0.0)","(0.983854353427887, 0.0)"
flickr-GAT_base,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5570711735674663, 0.0)","(0.022745098039215685, 0.0)","(0.8326572775840759, 0.0)","(0.0016806722689075631, 0.0)","(0.9733392000198364, 0.0)"
flickr-GAT_g-base-MI,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.6027772740468736, 0.0)","(0.038431372549019606, 0.0)","(0.6448630690574646, 0.0)","(0.0049299719887955186, 0.0)","(0.7680606245994568, 0.0)"
flickr-GAT_g-base-MIA,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5930108011832184, 0.0)","(0.029019607843137254, 0.0)","(0.647575318813324, 0.0)","(0.0036974789915966387, 0.0)","(0.7790052890777588, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.57439723183391, 0.0)","(0.027338935574229693, 0.0)","(0.7388861179351807, 0.0)","(0.004481792717086834, 0.0)","(0.9000361561775208, 0.0)"
flickr-GAT_lira-offline,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5493755525739707, 0.0)","(0.013669467787114847, 0.0)","(-3.98830605811789e-07, 0.0)","(0.001792717086834734, 0.0)","(-9.29727357142748e-27, 0.0)"
flickr-GAT_rmia-offline,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5532780704438639, 0.0)","(0.021176470588235293, 0.0)","(0.9381176233291626, 0.0)","(0.0014565826330532213, 0.0)","(0.9909047484397888, 0.0)"
flickr-GAT_base-offline,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.553964594465237, 0.0)","(0.021848739495798318, 0.0)","(0.8523048162460327, 0.0)","(0.0010084033613445378, 0.0)","(0.9852064251899719, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5762913227081299, 0.0)","(0.4748683571815491, 0.0)","(0.5990149032161886, 0.0)","(0.03170868347338936, 0.0)","(0.6735736727714539, 0.0)","(0.007507002801120448, 0.0)","(0.7993648052215576, 0.0)"
