,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5043740351042377, 0.0)","(0.007955182072829131, 0.0)","(0.0812273770570755, 0.0)","(0.0012324929971988796, 0.0)","(0.2748514413833618, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5035536096791657, 0.0)","(0.010868347338935574, 0.0)","(0.7223182916641235, 0.0)","(0.0014565826330532213, 0.0)","(1.089747428894043, 0.0)"
flickr-GAT_lira,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5117024692229833, 0.0)","(0.009859943977591037, 0.0)","(18.386483744610928, 0.0)","(0.000784313725490196, 0.0)","(111.71716450094024, 0.0)"
flickr-GAT_rmia,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5545969603527686, 0.0)","(0.01927170868347339, 0.0)","(0.895008385181427, 0.0)","(0.00392156862745098, 0.0)","(0.9564061760902405, 0.0)"
flickr-GAT_base,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5545967657651296, 0.0)","(0.01927170868347339, 0.0)","(0.8278383612632751, 0.0)","(0.00392156862745098, 0.0)","(0.9263871312141418, 0.0)"
flickr-GAT_g-base-MI,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5951601471961334, 0.0)","(0.02969187675070028, 0.0)","(0.641166627407074, 0.0)","(0.0029131652661064425, 0.0)","(0.784774661064148, 0.0)"
flickr-GAT_g-base-MIA,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5866224827185776, 0.0)","(0.025322128851540615, 0.0)","(0.6490379571914673, 0.0)","(0.003249299719887955, 0.0)","(0.7563267350196838, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5744485276463527, 0.0)","(0.024761904761904763, 0.0)","(0.7394328117370605, 0.0)","(0.004817927170868348, 0.0)","(0.8733091354370117, 0.0)"
flickr-GAT_lira-offline,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5474368194336557, 0.0)","(0.012661064425770308, 0.0)","(-1.0306715489459609e-07, 0.0)","(0.0013445378151260505, 0.0)","(-4.822996514916954e-26, 0.0)"
flickr-GAT_rmia-offline,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5512094218079389, 0.0)","(0.017703081232492996, 0.0)","(0.9190167784690857, 0.0)","(0.0024649859943977593, 0.0)","(0.975882351398468, 0.0)"
flickr-GAT_base-offline,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5523331654230319, 0.0)","(0.01781512605042017, 0.0)","(0.8295496702194214, 0.0)","(0.001792717086834734, 0.0)","(0.9684808254241943, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5661176443099976, 0.0)","(0.4802241027355194, 0.0)","(0.5953700193803011, 0.0)","(0.029131652661064426, 0.0)","(0.6591522693634033, 0.0)","(0.0038095238095238095, 0.0)","(0.8168752789497375, 0.0)"
