,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5008782618929926, 0.0)","(0.009635854341736695, 0.0)","(-0.003175925463438034, 0.0)","(0.0011204481792717086, 0.0)","(0.0317021980881691, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5008713760013809, 0.0)","(0.009411764705882352, 0.0)","(0.379453182220459, 0.0)","(0.0010084033613445378, 0.0)","(0.6033717393875122, 0.0)"
flickr-GAT_lira,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.507848202810536, 0.0)","(0.00918767507002801, 0.0)","(17.637249699319288, 0.0)","(0.001792717086834734, 0.0)","(88.01714059379935, 0.0)"
flickr-GAT_rmia,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5492509097756749, 0.0)","(0.0230812324929972, 0.0)","(0.887868344783783, 0.0)","(0.001792717086834734, 0.0)","(0.9774565696716309, 0.0)"
flickr-GAT_base,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5492507779582422, 0.0)","(0.0230812324929972, 0.0)","(0.8084991574287415, 0.0)","(0.001792717086834734, 0.0)","(0.9570914506912231, 0.0)"
flickr-GAT_g-base-MI,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5909209299406037, 0.0)","(0.02980392156862745, 0.0)","(0.6377204060554504, 0.0)","(0.006274509803921568, 0.0)","(0.7414515614509583, 0.0)"
flickr-GAT_g-base-MIA,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5839878100259711, 0.0)","(0.03058823529411765, 0.0)","(0.6297690868377686, 0.0)","(0.0067226890756302525, 0.0)","(0.7103594541549683, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5660045163163304, 0.0)","(0.024089635854341738, 0.0)","(0.751422107219696, 0.0)","(0.003249299719887955, 0.0)","(0.9205511212348938, 0.0)"
flickr-GAT_lira-offline,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5476132602060433, 0.0)","(0.015350140056022409, 0.0)","(-3.351372492622836e-07, 0.0)","(0.0021288515406162464, 0.0)","(-2.5278438854953793e-23, 0.0)"
flickr-GAT_rmia-offline,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5487066418724353, 0.0)","(0.021288515406162466, 0.0)","(0.9112604856491089, 0.0)","(0.002240896358543417, 0.0)","(0.9775434136390686, 0.0)"
flickr-GAT_base-offline,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5495409144049777, 0.0)","(0.021624649859943976, 0.0)","(0.8018569946289062, 0.0)","(0.0029131652661064425, 0.0)","(0.9471083879470825, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5675966143608093, 0.0)","(0.4795518219470978, 0.0)","(0.5933658985162692, 0.0)","(0.030252100840336135, 0.0)","(0.6640931963920593, 0.0)","(0.004817927170868348, 0.0)","(0.8256177306175232, 0.0)"
