,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.49270276267369695, 0.0)","(0.009299719887955181, 0.0)","(0.021700970828533173, 0.0)","(0.0005602240896358543, 0.0)","(0.15460631251335144, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.49553315286899074, 0.0)","(0.008739495798319327, 0.0)","(0.34045085310935974, 0.0)","(0.001792717086834734, 0.0)","(0.5275649428367615, 0.0)"
flickr-GAT_lira,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5068095065477172, 0.0)","(0.012773109243697478, 0.0)","(14.44266238007731, 0.0)","(0.0013445378151260505, 0.0)","(91.320657061226, 0.0)"
flickr-GAT_rmia,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5440179083398066, 0.0)","(0.017478991596638654, 0.0)","(0.902495801448822, 0.0)","(0.002352941176470588, 0.0)","(0.9751680493354797, 0.0)"
flickr-GAT_base,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5439059137380442, 0.0)","(0.017366946778711485, 0.0)","(0.8510984778404236, 0.0)","(0.0019047619047619048, 0.0)","(0.9671762585639954, 0.0)"
flickr-GAT_g-base-MI,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5756614677243447, 0.0)","(0.027787114845938377, 0.0)","(0.6367460489273071, 0.0)","(0.003137254901960784, 0.0)","(0.7608698606491089, 0.0)"
flickr-GAT_g-base-MIA,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5660293419328516, 0.0)","(0.03092436974789916, 0.0)","(0.62122642993927, 0.0)","(0.005266106442577031, 0.0)","(0.716685950756073, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5510530172853455, 0.0)","(0.01781512605042017, 0.0)","(0.7273187637329102, 0.0)","(0.002352941176470588, 0.0)","(0.9000248312950134, 0.0)"
flickr-GAT_lira-offline,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5402422490564853, 0.0)","(0.015238095238095238, 0.0)","(-3.261874483586672e-06, 0.0)","(0.0013445378151260505, 0.0)","(-1.0417333684980083e-25, 0.0)"
flickr-GAT_rmia-offline,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5447053927453334, 0.0)","(0.023865546218487396, 0.0)","(0.9128291010856628, 0.0)","(0.002240896358543417, 0.0)","(0.9729999899864197, 0.0)"
flickr-GAT_base-offline,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5439956876868395, 0.0)","(0.021512605042016807, 0.0)","(0.8502908945083618, 0.0)","(0.0016806722689075631, 0.0)","(0.9838849306106567, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5505882501602173, 0.0)","(0.4801792800426483, 0.0)","(0.5778358590495022, 0.0)","(0.028907563025210085, 0.0)","(0.6597025394439697, 0.0)","(0.004593837535014005, 0.0)","(0.8095186948776245, 0.0)"
