,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.4960338080330171, 0.0)","(0.006946778711484594, 0.0)","(0.02083778940141201, 0.0)","(0.0004481792717086835, 0.0)","(0.04942904785275459, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5028851760311968, 0.0)","(0.009635854341736695, 0.0)","(0.5566075444221497, 0.0)","(0.0006722689075630252, 0.0)","(0.8168783783912659, 0.0)"
flickr-GAT_lira,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5024213418700814, 0.0)","(0.010420168067226891, 0.0)","(20.525520736875478, 0.0)","(0.0013445378151260505, 0.0)","(109.11583125252729, 0.0)"
flickr-GAT_rmia,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5612784031259563, 0.0)","(0.02588235294117647, 0.0)","(0.9010840058326721, 0.0)","(0.00515406162464986, 0.0)","(0.9674537777900696, 0.0)"
flickr-GAT_base,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5612784031259562, 0.0)","(0.02588235294117647, 0.0)","(0.8369078636169434, 0.0)","(0.00515406162464986, 0.0)","(0.9453192353248596, 0.0)"
flickr-GAT_g-base-MI,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.603855986316095, 0.0)","(0.03338935574229692, 0.0)","(0.6529737114906311, 0.0)","(0.008291316526610644, 0.0)","(0.7393847703933716, 0.0)"
flickr-GAT_g-base-MIA,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5980961419862063, 0.0)","(0.03305322128851541, 0.0)","(0.6481310129165649, 0.0)","(0.009411764705882352, 0.0)","(0.7407078146934509, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5818867091934814, 0.0)","(0.02666666666666667, 0.0)","(0.7584909796714783, 0.0)","(0.008627450980392156, 0.0)","(0.8696565628051758, 0.0)"
flickr-GAT_lira-offline,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5544907908261344, 0.0)","(0.01647058823529412, 0.0)","(-4.666111666002228e-07, 0.0)","(0.0012324929971988796, 0.0)","(-2.1913427408215154e-34, 0.0)"
flickr-GAT_rmia-offline,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.559032259178181, 0.0)","(0.02296918767507003, 0.0)","(0.9178375601768494, 0.0)","(0.004593837535014005, 0.0)","(0.9720812439918518, 0.0)"
flickr-GAT_base-offline,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.5594090498944676, 0.0)","(0.022296918767507, 0.0)","(0.8294962048530579, 0.0)","(0.004481792717086834, 0.0)","(0.9432467222213745, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5721904635429382, 0.0)","(0.48150140047073364, 0.0)","(0.6016676474511373, 0.0)","(0.031260504201680674, 0.0)","(0.6759253740310669, 0.0)","(0.005938375350140056, 0.0)","(0.8094662427902222, 0.0)"
