,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5057642005821936, 0.0)","(0.011092436974789916, 0.0)","(0.02849145233631134, 0.0)","(0.000784313725490196, 0.0)","(0.07756798714399338, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5027690637039129, 0.0)","(0.009411764705882352, 0.0)","(0.43368223309516907, 0.0)","(0.0013445378151260505, 0.0)","(0.5982153415679932, 0.0)"
flickr-GAT_lira,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5087219138635846, 0.0)","(0.011428571428571429, 0.0)","(16.293552855691217, 0.0)","(0.00022408963585434174, 0.0)","(185.46160037931398, 0.0)"
flickr-GAT_rmia,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5513962824345424, 0.0)","(0.017254901960784313, 0.0)","(0.8889999985694885, 0.0)","(0.0020168067226890756, 0.0)","(0.9660560488700867, 0.0)"
flickr-GAT_base,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5513964581911196, 0.0)","(0.017254901960784313, 0.0)","(0.8127942681312561, 0.0)","(0.0020168067226890756, 0.0)","(0.9362839460372925, 0.0)"
flickr-GAT_g-base-MI,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.6011637345134132, 0.0)","(0.03361344537815126, 0.0)","(0.6500347256660461, 0.0)","(0.00649859943977591, 0.0)","(0.7542575001716614, 0.0)"
flickr-GAT_g-base-MIA,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5889762273536866, 0.0)","(0.030476190476190476, 0.0)","(0.6473111510276794, 0.0)","(0.00515406162464986, 0.0)","(0.7368282675743103, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5776894287126615, 0.0)","(0.029243697478991595, 0.0)","(0.7631186246871948, 0.0)","(0.004257703081232493, 0.0)","(0.9129238128662109, 0.0)"
flickr-GAT_lira-offline,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5486633743693556, 0.0)","(0.014453781512605042, 0.0)","(-8.511401478587608e-07, 0.0)","(0.000784313725490196, 0.0)","(-2.097028781138497e-44, 0.0)"
flickr-GAT_rmia-offline,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5475093880689531, 0.0)","(0.01680672268907563, 0.0)","(0.9176778793334961, 0.0)","(0.0014565826330532213, 0.0)","(0.9749776124954224, 0.0)"
flickr-GAT_base-offline,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.5473564233536552, 0.0)","(0.017478991596638654, 0.0)","(0.8104616403579712, 0.0)","(0.002240896358543417, 0.0)","(0.9312355518341064, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5812436938285828, 0.0)","(0.48230811953544617, 0.0)","(0.6000126042573892, 0.0)","(0.03551820728291317, 0.0)","(0.6574518084526062, 0.0)","(0.00649859943977591, 0.0)","(0.7975375652313232, 0.0)"
