,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.4996373765192351, 0.0)","(0.011428571428571429, 0.0)","(0.035729601979255676, 0.0)","(0.0012324929971988796, 0.0)","(0.07263568788766861, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.4993900116909509, 0.0)","(0.008739495798319327, 0.0)","(0.4895371198654175, 0.0)","(0.0010084033613445378, 0.0)","(0.7345256805419922, 0.0)"
flickr-GAT_lira,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.512853637141131, 0.0)","(0.011764705882352941, 0.0)","(16.519363279878092, 0.0)","(0.0010084033613445378, 0.0)","(141.4234489579685, 0.0)"
flickr-GAT_rmia,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5563185839041498, 0.0)","(0.01557422969187675, 0.0)","(0.9035910367965698, 0.0)","(0.00257703081232493, 0.0)","(0.968344509601593, 0.0)"
flickr-GAT_base,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5563184834718202, 0.0)","(0.01557422969187675, 0.0)","(0.8415493965148926, 0.0)","(0.00257703081232493, 0.0)","(0.9470751285552979, 0.0)"
flickr-GAT_g-base-MI,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5931862752944316, 0.0)","(0.03551820728291317, 0.0)","(0.6362811326980591, 0.0)","(0.008963585434173669, 0.0)","(0.7301231622695923, 0.0)"
flickr-GAT_g-base-MIA,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.587837180362341, 0.0)","(0.02957983193277311, 0.0)","(0.6422170996665955, 0.0)","(0.007058823529411765, 0.0)","(0.7348219752311707, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5713369143735926, 0.0)","(0.02330532212885154, 0.0)","(0.7404693365097046, 0.0)","(0.0038095238095238095, 0.0)","(0.8890986442565918, 0.0)"
flickr-GAT_lira-offline,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5498919818907956, 0.0)","(0.014789915966386555, 0.0)","(-7.051365432525637e-07, 0.0)","(0.0029131652661064425, 0.0)","(-2.427671529379537e-22, 0.0)"
flickr-GAT_rmia-offline,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.554517468163736, 0.0)","(0.01803921568627451, 0.0)","(0.9274285435676575, 0.0)","(0.001792717086834734, 0.0)","(0.9835546016693115, 0.0)"
flickr-GAT_base-offline,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5539563841222763, 0.0)","(0.017927170868347338, 0.0)","(0.8450950384140015, 0.0)","(0.0016806722689075631, 0.0)","(0.9678235650062561, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5685602426528931, 0.0)","(0.477826327085495, 0.0)","(0.5991528219130791, 0.0)","(0.03417366946778711, 0.0)","(0.6589199900627136, 0.0)","(0.009971988795518208, 0.0)","(0.7802126407623291, 0.0)"
