,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5907 (0.0000),0.4637 (0.0000),0.5188 (0.0000),0.0157 (0.0000),0.0117 (0.0000),0.0007 (0.0000),0.0185 (0.0000)
flickr-GCN_MLP-attack-comb,0.5907 (0.0000),0.4637 (0.0000),0.5045 (0.0000),0.0119 (0.0000),0.0181 (0.0000),0.0007 (0.0000),0.0419 (0.0000)
flickr-GCN_lira,0.5907 (0.0000),0.4637 (0.0000),0.5533 (0.0000),0.0179 (0.0000),1.2943 (0.0000),0.0018 (0.0000),3.2266 (0.0000)
flickr-GCN_rmia,0.5907 (0.0000),0.4637 (0.0000),0.5633 (0.0000),0.0244 (0.0000),0.7634 (0.0000),0.0054 (0.0000),0.8259 (0.0000)
flickr-GCN_lset,0.5907 (0.0000),0.4637 (0.0000),0.5633 (0.0000),0.0244 (0.0000),0.8458 (0.0000),0.0054 (0.0000),0.9253 (0.0000)
flickr-GCN_graph-lset-MI,0.5907 (0.0000),0.4637 (0.0000),0.6366 (0.0000),0.0383 (0.0000),0.6433 (0.0000),0.0043 (0.0000),0.7411 (0.0000)
flickr-GCN_lira-offline,0.5907 (0.0000),0.4637 (0.0000),0.5682 (0.0000),0.0197 (0.0000),-0.0025 (0.0000),0.0034 (0.0000),-0.0001 (0.0000)
flickr-GCN_rmia-offline,0.5907 (0.0000),0.4637 (0.0000),0.5644 (0.0000),0.0296 (0.0000),0.7863 (0.0000),0.0074 (0.0000),0.8541 (0.0000)
flickr-GCN_lset-offline,0.5907 (0.0000),0.4637 (0.0000),0.5629 (0.0000),0.0278 (0.0000),0.7780 (0.0000),0.0090 (0.0000),0.8593 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5907 (0.0000),0.4637 (0.0000),0.6367 (0.0000),0.0442 (0.0000),0.6453 (0.0000),0.0052 (0.0000),0.7497 (0.0000)
