,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5764 (0.0000),0.4701 (0.0000),0.5074 (0.0000),0.0139 (0.0000),-0.0265 (0.0000),0.0016 (0.0000),-0.0233 (0.0000)
flickr-GCN_MLP-attack-comb,0.5764 (0.0000),0.4701 (0.0000),0.5002 (0.0000),0.0117 (0.0000),0.0243 (0.0000),0.0020 (0.0000),0.0365 (0.0000)
flickr-GCN_lira,0.5764 (0.0000),0.4701 (0.0000),0.5529 (0.0000),0.0177 (0.0000),1.0136 (0.0000),0.0036 (0.0000),2.1426 (0.0000)
flickr-GCN_rmia,0.5764 (0.0000),0.4701 (0.0000),0.5539 (0.0000),0.0186 (0.0000),0.7522 (0.0000),0.0018 (0.0000),0.8364 (0.0000)
flickr-GCN_lset,0.5764 (0.0000),0.4701 (0.0000),0.5539 (0.0000),0.0186 (0.0000),0.8424 (0.0000),0.0018 (0.0000),0.9417 (0.0000)
flickr-GCN_graph-lset-MI,0.5764 (0.0000),0.4701 (0.0000),0.6030 (0.0000),0.0325 (0.0000),0.6156 (0.0000),0.0067 (0.0000),0.6835 (0.0000)
flickr-GCN_lira-offline,0.5764 (0.0000),0.4701 (0.0000),0.5610 (0.0000),0.0164 (0.0000),-0.0082 (0.0000),0.0045 (0.0000),-0.0010 (0.0000)
flickr-GCN_rmia-offline,0.5764 (0.0000),0.4701 (0.0000),0.5574 (0.0000),0.0222 (0.0000),0.7783 (0.0000),0.0031 (0.0000),0.8655 (0.0000)
flickr-GCN_lset-offline,0.5764 (0.0000),0.4701 (0.0000),0.5536 (0.0000),0.0231 (0.0000),0.7628 (0.0000),0.0036 (0.0000),0.8768 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5764 (0.0000),0.4701 (0.0000),0.6128 (0.0000),0.0383 (0.0000),0.6123 (0.0000),0.0074 (0.0000),0.7129 (0.0000)
