,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5641 (0.0000),0.4743 (0.0000),0.4952 (0.0000),0.0128 (0.0000),0.0162 (0.0000),0.0013 (0.0000),0.0179 (0.0000)
flickr-GCN_MLP-attack-comb,0.5641 (0.0000),0.4743 (0.0000),0.4947 (0.0000),0.0110 (0.0000),0.0308 (0.0000),0.0007 (0.0000),0.0423 (0.0000)
flickr-GCN_lira,0.5641 (0.0000),0.4743 (0.0000),0.5455 (0.0000),0.0240 (0.0000),0.9259 (0.0000),0.0047 (0.0000),1.6330 (0.0000)
flickr-GCN_rmia,0.5641 (0.0000),0.4743 (0.0000),0.5656 (0.0000),0.0208 (0.0000),0.7414 (0.0000),0.0036 (0.0000),0.8099 (0.0000)
flickr-GCN_lset,0.5641 (0.0000),0.4743 (0.0000),0.5656 (0.0000),0.0208 (0.0000),0.8378 (0.0000),0.0036 (0.0000),0.9224 (0.0000)
flickr-GCN_graph-lset-MI,0.5641 (0.0000),0.4743 (0.0000),0.6011 (0.0000),0.0235 (0.0000),0.6193 (0.0000),0.0020 (0.0000),0.7143 (0.0000)
flickr-GCN_lira-offline,0.5641 (0.0000),0.4743 (0.0000),0.5566 (0.0000),0.0208 (0.0000),-0.0148 (0.0000),0.0034 (0.0000),-0.0016 (0.0000)
flickr-GCN_rmia-offline,0.5641 (0.0000),0.4743 (0.0000),0.5648 (0.0000),0.0220 (0.0000),0.7645 (0.0000),0.0040 (0.0000),0.8348 (0.0000)
flickr-GCN_lset-offline,0.5641 (0.0000),0.4743 (0.0000),0.5657 (0.0000),0.0235 (0.0000),0.7623 (0.0000),0.0043 (0.0000),0.8625 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5641 (0.0000),0.4743 (0.0000),0.6027 (0.0000),0.0251 (0.0000),0.6149 (0.0000),0.0027 (0.0000),0.7478 (0.0000)
