,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9266 (0.0000),0.8449 (0.0000),0.5193 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9266 (0.0000),0.8449 (0.0000),0.5410 (0.0000),0.0152 (0.0000),0.6432 (0.0000),0.0027 (0.0000),0.7315 (0.0000)
github-GraphSAGE_lset-offline,0.9266 (0.0000),0.8449 (0.0000),0.5382 (0.0000),0.0187 (0.0000),0.6326 (0.0000),0.0045 (0.0000),0.7309 (0.0000)
github-GraphSAGE_rmia,0.9266 (0.0000),0.8449 (0.0000),0.5410 (0.0000),0.0152 (0.0000),0.9422 (0.0000),0.0027 (0.0000),0.9728 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9266 (0.0000),0.8449 (0.0000),0.5410 (0.0000),0.0152 (0.0000),0.3060 (0.0000),0.0027 (0.0000),0.8923 (0.0000)
github-GraphSAGE_rmia-offline,0.9266 (0.0000),0.8449 (0.0000),0.5377 (0.0000),0.0177 (0.0000),0.9509 (0.0000),0.0039 (0.0000),0.9760 (0.0000)
github-GraphSAGE_lira,0.9266 (0.0000),0.8449 (0.0000),0.5118 (0.0000),0.0068 (0.0000),11.9057 (0.0000),0.0010 (0.0000),56.4642 (0.0000)
github-GraphSAGE_lira-offline,0.9266 (0.0000),0.8449 (0.0000),0.5280 (0.0000),0.0135 (0.0000),-0.0008 (0.0000),0.0005 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9266 (0.0000),0.8449 (0.0000),0.5039 (0.0000),0.0106 (0.0000),0.1917 (0.0000),0.0008 (0.0000),0.2721 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9266 (0.0000),0.8449 (0.0000),0.5081 (0.0000),0.0151 (0.0000),0.1953 (0.0000),0.0012 (0.0000),0.2613 (0.0000)
github-GraphSAGE_confidence,0.9266 (0.0000),0.8449 (0.0000),0.5130 (0.0000),0.0117 (0.0000),0.9984 (0.0000),0.0019 (0.0000),0.9998 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9266 (0.0000),0.8449 (0.0000),0.5655 (0.0000),0.0246 (0.0000),0.6050 (0.0000),0.0024 (0.0000),0.7175 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9266 (0.0000),0.8449 (0.0000),0.5658 (0.0000),0.0267 (0.0000),0.6054 (0.0000),0.0037 (0.0000),0.6983 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9266 (0.0000),0.8449 (0.0000),0.5692 (0.0000),0.0254 (0.0000),0.6700 (0.0000),0.0042 (0.0000),0.7884 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9266 (0.0000),0.8449 (0.0000),0.5684 (0.0000),0.0250 (0.0000),0.6924 (0.0000),0.0046 (0.0000),0.8244 (0.0000)
