,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9367 (0.0000),0.8459 (0.0000),0.5204 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9367 (0.0000),0.8459 (0.0000),0.5399 (0.0000),0.0187 (0.0000),0.6516 (0.0000),0.0030 (0.0000),0.7617 (0.0000)
github-GraphSAGE_lset-offline,0.9367 (0.0000),0.8459 (0.0000),0.5377 (0.0000),0.0197 (0.0000),0.6318 (0.0000),0.0039 (0.0000),0.7480 (0.0000)
github-GraphSAGE_rmia,0.9367 (0.0000),0.8459 (0.0000),0.5399 (0.0000),0.0187 (0.0000),0.9529 (0.0000),0.0030 (0.0000),0.9826 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9367 (0.0000),0.8459 (0.0000),0.5399 (0.0000),0.0187 (0.0000),0.3469 (0.0000),0.0030 (0.0000),0.9339 (0.0000)
github-GraphSAGE_rmia-offline,0.9367 (0.0000),0.8459 (0.0000),0.5371 (0.0000),0.0206 (0.0000),0.9471 (0.0000),0.0040 (0.0000),0.9773 (0.0000)
github-GraphSAGE_lira,0.9367 (0.0000),0.8459 (0.0000),0.5075 (0.0000),0.0095 (0.0000),13.4832 (0.0000),0.0011 (0.0000),89.6528 (0.0000)
github-GraphSAGE_lira-offline,0.9367 (0.0000),0.8459 (0.0000),0.5291 (0.0000),0.0143 (0.0000),-0.0000 (0.0000),0.0012 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9367 (0.0000),0.8459 (0.0000),0.4938 (0.0000),0.0104 (0.0000),0.3902 (0.0000),0.0013 (0.0000),0.5019 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9367 (0.0000),0.8459 (0.0000),0.5042 (0.0000),0.0108 (0.0000),0.1700 (0.0000),0.0012 (0.0000),0.2241 (0.0000)
github-GraphSAGE_confidence,0.9367 (0.0000),0.8459 (0.0000),0.5175 (0.0000),0.0083 (0.0000),0.9992 (0.0000),0.0006 (0.0000),0.9999 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9367 (0.0000),0.8459 (0.0000),0.5704 (0.0000),0.0272 (0.0000),0.6210 (0.0000),0.0076 (0.0000),0.6877 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9367 (0.0000),0.8459 (0.0000),0.5784 (0.0000),0.0291 (0.0000),0.6093 (0.0000),0.0072 (0.0000),0.6907 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9367 (0.0000),0.8459 (0.0000),0.5846 (0.0000),0.0296 (0.0000),0.6698 (0.0000),0.0086 (0.0000),0.7617 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9367 (0.0000),0.8459 (0.0000),0.5808 (0.0000),0.0341 (0.0000),0.6847 (0.0000),0.0080 (0.0000),0.8066 (0.0000)
