,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9124 (0.0000),0.8534 (0.0000),0.5200 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9124 (0.0000),0.8534 (0.0000),0.5496 (0.0000),0.0193 (0.0000),0.5990 (0.0000),0.0033 (0.0000),0.6783 (0.0000)
github-GraphSAGE_lset-offline,0.9124 (0.0000),0.8534 (0.0000),0.5472 (0.0000),0.0184 (0.0000),0.6231 (0.0000),0.0034 (0.0000),0.7221 (0.0000)
github-GraphSAGE_rmia,0.9124 (0.0000),0.8534 (0.0000),0.5496 (0.0000),0.0193 (0.0000),0.9416 (0.0000),0.0033 (0.0000),0.9794 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9124 (0.0000),0.8534 (0.0000),0.5496 (0.0000),0.0193 (0.0000),0.0837 (0.0000),0.0033 (0.0000),0.6897 (0.0000)
github-GraphSAGE_rmia-offline,0.9124 (0.0000),0.8534 (0.0000),0.5480 (0.0000),0.0189 (0.0000),0.9651 (0.0000),0.0033 (0.0000),0.9897 (0.0000)
github-GraphSAGE_lira,0.9124 (0.0000),0.8534 (0.0000),0.5163 (0.0000),0.0081 (0.0000),15.2166 (0.0000),0.0013 (0.0000),63.0585 (0.0000)
github-GraphSAGE_lira-offline,0.9124 (0.0000),0.8534 (0.0000),0.5410 (0.0000),0.0121 (0.0000),-0.0000 (0.0000),0.0021 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9124 (0.0000),0.8534 (0.0000),0.4941 (0.0000),0.0083 (0.0000),0.8621 (0.0000),0.0015 (0.0000),1.2280 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9124 (0.0000),0.8534 (0.0000),0.5036 (0.0000),0.0109 (0.0000),0.0717 (0.0000),0.0011 (0.0000),0.1339 (0.0000)
github-GraphSAGE_confidence,0.9124 (0.0000),0.8534 (0.0000),0.5041 (0.0000),0.0095 (0.0000),0.9993 (0.0000),0.0018 (0.0000),0.9999 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9124 (0.0000),0.8534 (0.0000),0.5688 (0.0000),0.0258 (0.0000),0.6046 (0.0000),0.0047 (0.0000),0.6802 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9124 (0.0000),0.8534 (0.0000),0.5711 (0.0000),0.0262 (0.0000),0.6017 (0.0000),0.0053 (0.0000),0.6694 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9124 (0.0000),0.8534 (0.0000),0.5809 (0.0000),0.0285 (0.0000),0.6483 (0.0000),0.0065 (0.0000),0.7426 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9124 (0.0000),0.8534 (0.0000),0.5734 (0.0000),0.0310 (0.0000),0.6629 (0.0000),0.0044 (0.0000),0.7881 (0.0000)
