,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9434 (0.0000),0.8411 (0.0000),0.5236 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9434 (0.0000),0.8411 (0.0000),0.5437 (0.0000),0.0213 (0.0000),0.6430 (0.0000),0.0028 (0.0000),0.7471 (0.0000)
github-GraphSAGE_lset-offline,0.9434 (0.0000),0.8411 (0.0000),0.5396 (0.0000),0.0211 (0.0000),0.6685 (0.0000),0.0047 (0.0000),0.7784 (0.0000)
github-GraphSAGE_rmia,0.9434 (0.0000),0.8411 (0.0000),0.5437 (0.0000),0.0213 (0.0000),0.9499 (0.0000),0.0028 (0.0000),0.9797 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9434 (0.0000),0.8411 (0.0000),0.5437 (0.0000),0.0213 (0.0000),0.2835 (0.0000),0.0028 (0.0000),0.9192 (0.0000)
github-GraphSAGE_rmia-offline,0.9434 (0.0000),0.8411 (0.0000),0.5403 (0.0000),0.0203 (0.0000),0.9561 (0.0000),0.0042 (0.0000),0.9801 (0.0000)
github-GraphSAGE_lira,0.9434 (0.0000),0.8411 (0.0000),0.5143 (0.0000),0.0119 (0.0000),14.9499 (0.0000),0.0018 (0.0000),74.3207 (0.0000)
github-GraphSAGE_lira-offline,0.9434 (0.0000),0.8411 (0.0000),0.5358 (0.0000),0.0136 (0.0000),-0.0000 (0.0000),0.0018 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9434 (0.0000),0.8411 (0.0000),0.5016 (0.0000),0.0117 (0.0000),-0.0599 (0.0000),0.0008 (0.0000),-0.0439 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9434 (0.0000),0.8411 (0.0000),0.4997 (0.0000),0.0109 (0.0000),0.2017 (0.0000),0.0017 (0.0000),0.3195 (0.0000)
github-GraphSAGE_confidence,0.9434 (0.0000),0.8411 (0.0000),0.5153 (0.0000),0.0127 (0.0000),0.9991 (0.0000),0.0016 (0.0000),0.9999 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9434 (0.0000),0.8411 (0.0000),0.5720 (0.0000),0.0313 (0.0000),0.6191 (0.0000),0.0069 (0.0000),0.6993 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9434 (0.0000),0.8411 (0.0000),0.5783 (0.0000),0.0281 (0.0000),0.6193 (0.0000),0.0071 (0.0000),0.6926 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9434 (0.0000),0.8411 (0.0000),0.5821 (0.0000),0.0246 (0.0000),0.6873 (0.0000),0.0056 (0.0000),0.8010 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9434 (0.0000),0.8411 (0.0000),0.5809 (0.0000),0.0292 (0.0000),0.6959 (0.0000),0.0057 (0.0000),0.8212 (0.0000)
