,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9446 (0.0000),0.8474 (0.0000),0.5146 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9446 (0.0000),0.8474 (0.0000),0.5388 (0.0000),0.0192 (0.0000),0.6307 (0.0000),0.0025 (0.0000),0.7315 (0.0000)
github-GraphSAGE_lset-offline,0.9446 (0.0000),0.8474 (0.0000),0.5358 (0.0000),0.0188 (0.0000),0.5850 (0.0000),0.0028 (0.0000),0.6975 (0.0000)
github-GraphSAGE_rmia,0.9446 (0.0000),0.8474 (0.0000),0.5388 (0.0000),0.0192 (0.0000),0.9442 (0.0000),0.0025 (0.0000),0.9800 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9446 (0.0000),0.8474 (0.0000),0.5388 (0.0000),0.0192 (0.0000),0.1741 (0.0000),0.0025 (0.0000),0.8950 (0.0000)
github-GraphSAGE_rmia-offline,0.9446 (0.0000),0.8474 (0.0000),0.5375 (0.0000),0.0173 (0.0000),0.9204 (0.0000),0.0016 (0.0000),0.9707 (0.0000)
github-GraphSAGE_lira,0.9446 (0.0000),0.8474 (0.0000),0.5095 (0.0000),0.0087 (0.0000),16.2664 (0.0000),0.0018 (0.0000),72.0393 (0.0000)
github-GraphSAGE_lira-offline,0.9446 (0.0000),0.8474 (0.0000),0.5336 (0.0000),0.0112 (0.0000),-0.0000 (0.0000),0.0018 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9446 (0.0000),0.8474 (0.0000),0.4994 (0.0000),0.0104 (0.0000),0.0591 (0.0000),0.0007 (0.0000),0.0848 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9446 (0.0000),0.8474 (0.0000),0.4951 (0.0000),0.0093 (0.0000),0.3071 (0.0000),0.0010 (0.0000),0.3934 (0.0000)
github-GraphSAGE_confidence,0.9446 (0.0000),0.8474 (0.0000),0.5119 (0.0000),0.0100 (0.0000),0.9994 (0.0000),0.0008 (0.0000),1.0000 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9446 (0.0000),0.8474 (0.0000),0.5800 (0.0000),0.0272 (0.0000),0.6251 (0.0000),0.0070 (0.0000),0.7079 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9446 (0.0000),0.8474 (0.0000),0.5760 (0.0000),0.0302 (0.0000),0.6153 (0.0000),0.0082 (0.0000),0.6957 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9446 (0.0000),0.8474 (0.0000),0.5882 (0.0000),0.0346 (0.0000),0.6658 (0.0000),0.0070 (0.0000),0.7809 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9446 (0.0000),0.8474 (0.0000),0.5868 (0.0000),0.0291 (0.0000),0.6937 (0.0000),0.0062 (0.0000),0.8135 (0.0000)
