,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9619 (0.0000),0.8420 (0.0000),0.4970 (0.0000),0.0058 (0.0000),0.0584 (0.0000),0.0008 (0.0000),0.0958 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9619 (0.0000),0.8420 (0.0000),0.4965 (0.0000),0.0090 (0.0000),0.1302 (0.0000),0.0029 (0.0000),0.1898 (0.0000)
github-GraphSAGE_lira,0.9619 (0.0000),0.8420 (0.0000),0.5426 (0.0000),0.0172 (0.0000),1.7542 (0.0000),0.0034 (0.0000),3.3782 (0.0000)
github-GraphSAGE_rmia,0.9619 (0.0000),0.8420 (0.0000),0.5466 (0.0000),0.0268 (0.0000),0.9341 (0.0000),0.0034 (0.0000),0.9808 (0.0000)
github-GraphSAGE_lset,0.9619 (0.0000),0.8420 (0.0000),0.5466 (0.0000),0.0268 (0.0000),0.6236 (0.0000),0.0034 (0.0000),0.7313 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9619 (0.0000),0.8420 (0.0000),0.5867 (0.0000),0.0340 (0.0000),0.6005 (0.0000),0.0072 (0.0000),0.6775 (0.0000)
github-GraphSAGE_lira-offline,0.9619 (0.0000),0.8420 (0.0000),0.5387 (0.0000),0.0151 (0.0000),-0.0003 (0.0000),0.0008 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_rmia-offline,0.9619 (0.0000),0.8420 (0.0000),0.5506 (0.0000),0.0284 (0.0000),0.9487 (0.0000),0.0040 (0.0000),0.9875 (0.0000)
github-GraphSAGE_lset-offline,0.9619 (0.0000),0.8420 (0.0000),0.5505 (0.0000),0.0281 (0.0000),0.6463 (0.0000),0.0040 (0.0000),0.7702 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9619 (0.0000),0.8420 (0.0000),0.5924 (0.0000),0.0363 (0.0000),0.6221 (0.0000),0.0064 (0.0000),0.7417 (0.0000)
