,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9754 (0.0000),0.8422 (0.0000),0.5004 (0.0000),0.0072 (0.0000),-0.0000 (0.0000),0.0005 (0.0000),0.0188 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9754 (0.0000),0.8422 (0.0000),0.4976 (0.0000),0.0119 (0.0000),0.2189 (0.0000),0.0019 (0.0000),0.2830 (0.0000)
github-GraphSAGE_lira,0.9754 (0.0000),0.8422 (0.0000),0.5335 (0.0000),0.0149 (0.0000),1.9016 (0.0000),0.0024 (0.0000),4.2533 (0.0000)
github-GraphSAGE_rmia,0.9754 (0.0000),0.8422 (0.0000),0.5559 (0.0000),0.0188 (0.0000),0.9510 (0.0000),0.0050 (0.0000),0.9761 (0.0000)
github-GraphSAGE_lset,0.9754 (0.0000),0.8422 (0.0000),0.5559 (0.0000),0.0188 (0.0000),0.6489 (0.0000),0.0050 (0.0000),0.7192 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9754 (0.0000),0.8422 (0.0000),0.5812 (0.0000),0.0297 (0.0000),0.6237 (0.0000),0.0064 (0.0000),0.7040 (0.0000)
github-GraphSAGE_lira-offline,0.9754 (0.0000),0.8422 (0.0000),0.5485 (0.0000),0.0178 (0.0000),-0.0001 (0.0000),0.0040 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_rmia-offline,0.9754 (0.0000),0.8422 (0.0000),0.5543 (0.0000),0.0244 (0.0000),0.9355 (0.0000),0.0042 (0.0000),0.9719 (0.0000)
github-GraphSAGE_lset-offline,0.9754 (0.0000),0.8422 (0.0000),0.5553 (0.0000),0.0252 (0.0000),0.6053 (0.0000),0.0045 (0.0000),0.6849 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9754 (0.0000),0.8422 (0.0000),0.5875 (0.0000),0.0249 (0.0000),0.6508 (0.0000),0.0064 (0.0000),0.7489 (0.0000)
