,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9229 (0.0000),0.8445 (0.0000),0.4984 (0.0000),0.0114 (0.0000),0.2516 (0.0000),0.0011 (0.0000),0.3411 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9229 (0.0000),0.8445 (0.0000),0.4934 (0.0000),0.0095 (0.0000),0.0533 (0.0000),0.0013 (0.0000),0.0826 (0.0000)
github-GraphSAGE_lira,0.9229 (0.0000),0.8445 (0.0000),0.5418 (0.0000),0.0218 (0.0000),0.6127 (0.0000),0.0005 (0.0000),2.1953 (0.0000)
github-GraphSAGE_rmia,0.9229 (0.0000),0.8445 (0.0000),0.5553 (0.0000),0.0191 (0.0000),0.9228 (0.0000),0.0034 (0.0000),0.9669 (0.0000)
github-GraphSAGE_lset,0.9229 (0.0000),0.8445 (0.0000),0.5553 (0.0000),0.0191 (0.0000),0.5950 (0.0000),0.0034 (0.0000),0.6718 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9229 (0.0000),0.8445 (0.0000),0.5730 (0.0000),0.0271 (0.0000),0.5701 (0.0000),0.0053 (0.0000),0.6474 (0.0000)
github-GraphSAGE_lira-offline,0.9229 (0.0000),0.8445 (0.0000),0.5535 (0.0000),0.0167 (0.0000),-0.0576 (0.0000),0.0008 (0.0000),-0.0074 (0.0000)
github-GraphSAGE_rmia-offline,0.9229 (0.0000),0.8445 (0.0000),0.5592 (0.0000),0.0231 (0.0000),0.9418 (0.0000),0.0037 (0.0000),0.9814 (0.0000)
github-GraphSAGE_lset-offline,0.9229 (0.0000),0.8445 (0.0000),0.5593 (0.0000),0.0228 (0.0000),0.6103 (0.0000),0.0040 (0.0000),0.7170 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9229 (0.0000),0.8445 (0.0000),0.5872 (0.0000),0.0273 (0.0000),0.5946 (0.0000),0.0072 (0.0000),0.6717 (0.0000)
