,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9239 (0.0000),0.8503 (0.0000),0.5090 (0.0000),0.0151 (0.0000),0.2850 (0.0000),0.0027 (0.0000),0.4161 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9239 (0.0000),0.8503 (0.0000),0.5116 (0.0000),0.0106 (0.0000),0.0961 (0.0000),0.0011 (0.0000),0.1352 (0.0000)
github-GraphSAGE_lira,0.9239 (0.0000),0.8503 (0.0000),0.5320 (0.0000),0.0220 (0.0000),0.7411 (0.0000),0.0034 (0.0000),1.5447 (0.0000)
github-GraphSAGE_rmia,0.9239 (0.0000),0.8503 (0.0000),0.5342 (0.0000),0.0207 (0.0000),0.9159 (0.0000),0.0034 (0.0000),0.9641 (0.0000)
github-GraphSAGE_lset,0.9239 (0.0000),0.8503 (0.0000),0.5342 (0.0000),0.0207 (0.0000),0.5916 (0.0000),0.0034 (0.0000),0.6587 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9239 (0.0000),0.8503 (0.0000),0.5736 (0.0000),0.0257 (0.0000),0.5687 (0.0000),0.0058 (0.0000),0.6344 (0.0000)
github-GraphSAGE_lira-offline,0.9239 (0.0000),0.8503 (0.0000),0.5364 (0.0000),0.0170 (0.0000),-0.0214 (0.0000),0.0042 (0.0000),-0.0058 (0.0000)
github-GraphSAGE_rmia-offline,0.9239 (0.0000),0.8503 (0.0000),0.5352 (0.0000),0.0218 (0.0000),0.9276 (0.0000),0.0045 (0.0000),0.9703 (0.0000)
github-GraphSAGE_lset-offline,0.9239 (0.0000),0.8503 (0.0000),0.5360 (0.0000),0.0236 (0.0000),0.5908 (0.0000),0.0058 (0.0000),0.6649 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9239 (0.0000),0.8503 (0.0000),0.5820 (0.0000),0.0286 (0.0000),0.5847 (0.0000),0.0093 (0.0000),0.6632 (0.0000)
