,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9603 (0.0000),0.8377 (0.0000),0.4881 (0.0000),0.0122 (0.0000),0.0707 (0.0000),0.0021 (0.0000),0.1145 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9603 (0.0000),0.8377 (0.0000),0.5041 (0.0000),0.0058 (0.0000),0.1996 (0.0000),0.0003 (0.0000),0.2961 (0.0000)
github-GraphSAGE_lira,0.9603 (0.0000),0.8377 (0.0000),0.5377 (0.0000),0.0175 (0.0000),1.4503 (0.0000),0.0029 (0.0000),2.7491 (0.0000)
github-GraphSAGE_rmia,0.9603 (0.0000),0.8377 (0.0000),0.5562 (0.0000),0.0244 (0.0000),0.9356 (0.0000),0.0050 (0.0000),0.9766 (0.0000)
github-GraphSAGE_lset,0.9603 (0.0000),0.8377 (0.0000),0.5562 (0.0000),0.0244 (0.0000),0.6256 (0.0000),0.0050 (0.0000),0.7229 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9603 (0.0000),0.8377 (0.0000),0.5875 (0.0000),0.0345 (0.0000),0.6000 (0.0000),0.0056 (0.0000),0.6895 (0.0000)
github-GraphSAGE_lira-offline,0.9603 (0.0000),0.8377 (0.0000),0.5424 (0.0000),0.0103 (0.0000),-0.0011 (0.0000),0.0008 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_rmia-offline,0.9603 (0.0000),0.8377 (0.0000),0.5544 (0.0000),0.0281 (0.0000),0.9406 (0.0000),0.0056 (0.0000),0.9800 (0.0000)
github-GraphSAGE_lset-offline,0.9603 (0.0000),0.8377 (0.0000),0.5544 (0.0000),0.0284 (0.0000),0.6264 (0.0000),0.0050 (0.0000),0.7338 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9603 (0.0000),0.8377 (0.0000),0.5907 (0.0000),0.0419 (0.0000),0.6168 (0.0000),0.0066 (0.0000),0.7390 (0.0000)
