,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9560 (0.0000),0.8251 (0.0000),0.4816 (0.0000),0.0088 (0.0000),0.0676 (0.0000),0.0000 (0.0000),0.1126 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9560 (0.0000),0.8251 (0.0000),0.5084 (0.0000),0.0101 (0.0000),0.1509 (0.0000),0.0011 (0.0000),0.2101 (0.0000)
github-GraphSAGE_lira,0.9560 (0.0000),0.8251 (0.0000),0.5344 (0.0000),0.0225 (0.0000),0.9649 (0.0000),0.0048 (0.0000),1.8283 (0.0000)
github-GraphSAGE_rmia,0.9560 (0.0000),0.8251 (0.0000),0.5506 (0.0000),0.0236 (0.0000),0.9450 (0.0000),0.0040 (0.0000),0.9762 (0.0000)
github-GraphSAGE_lset,0.9560 (0.0000),0.8251 (0.0000),0.5506 (0.0000),0.0236 (0.0000),0.6346 (0.0000),0.0040 (0.0000),0.7218 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9560 (0.0000),0.8251 (0.0000),0.5889 (0.0000),0.0310 (0.0000),0.5983 (0.0000),0.0048 (0.0000),0.6829 (0.0000)
github-GraphSAGE_lira-offline,0.9560 (0.0000),0.8251 (0.0000),0.5469 (0.0000),0.0207 (0.0000),-0.0100 (0.0000),0.0027 (0.0000),-0.0011 (0.0000)
github-GraphSAGE_rmia-offline,0.9560 (0.0000),0.8251 (0.0000),0.5497 (0.0000),0.0265 (0.0000),0.9396 (0.0000),0.0064 (0.0000),0.9718 (0.0000)
github-GraphSAGE_lset-offline,0.9560 (0.0000),0.8251 (0.0000),0.5502 (0.0000),0.0286 (0.0000),0.6118 (0.0000),0.0061 (0.0000),0.7020 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9560 (0.0000),0.8251 (0.0000),0.5938 (0.0000),0.0422 (0.0000),0.6102 (0.0000),0.0048 (0.0000),0.7210 (0.0000)
