,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9121 (0.0000),0.8515 (0.0000),0.5093 (0.0000),0.0125 (0.0000),0.6362 (0.0000),0.0013 (0.0000),0.8398 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9121 (0.0000),0.8515 (0.0000),0.5027 (0.0000),0.0080 (0.0000),0.0780 (0.0000),0.0019 (0.0000),0.0983 (0.0000)
github-GraphSAGE_lira,0.9121 (0.0000),0.8515 (0.0000),0.5112 (0.0000),0.0204 (0.0000),0.6368 (0.0000),0.0034 (0.0000),1.3085 (0.0000)
github-GraphSAGE_rmia,0.9121 (0.0000),0.8515 (0.0000),0.5296 (0.0000),0.0167 (0.0000),0.9329 (0.0000),0.0011 (0.0000),0.9733 (0.0000)
github-GraphSAGE_lset,0.9121 (0.0000),0.8515 (0.0000),0.5296 (0.0000),0.0167 (0.0000),0.6028 (0.0000),0.0011 (0.0000),0.6928 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9121 (0.0000),0.8515 (0.0000),0.5632 (0.0000),0.0286 (0.0000),0.5553 (0.0000),0.0050 (0.0000),0.6234 (0.0000)
github-GraphSAGE_lira-offline,0.9121 (0.0000),0.8515 (0.0000),0.5163 (0.0000),0.0167 (0.0000),-0.0630 (0.0000),0.0013 (0.0000),-0.0089 (0.0000)
github-GraphSAGE_rmia-offline,0.9121 (0.0000),0.8515 (0.0000),0.5308 (0.0000),0.0202 (0.0000),0.9093 (0.0000),0.0037 (0.0000),0.9547 (0.0000)
github-GraphSAGE_lset-offline,0.9121 (0.0000),0.8515 (0.0000),0.5301 (0.0000),0.0207 (0.0000),0.5540 (0.0000),0.0037 (0.0000),0.6134 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9121 (0.0000),0.8515 (0.0000),0.5756 (0.0000),0.0297 (0.0000),0.5741 (0.0000),0.0119 (0.0000),0.6224 (0.0000)
