,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9202 (0.0000),0.8460 (0.0000),0.5125 (0.0000),0.0080 (0.0000),0.4015 (0.0000),0.0011 (0.0000),0.5676 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9202 (0.0000),0.8460 (0.0000),0.4946 (0.0000),0.0130 (0.0000),0.1670 (0.0000),0.0024 (0.0000),0.2218 (0.0000)
github-GraphSAGE_lira,0.9202 (0.0000),0.8460 (0.0000),0.5302 (0.0000),0.0202 (0.0000),0.7541 (0.0000),0.0040 (0.0000),1.5748 (0.0000)
github-GraphSAGE_rmia,0.9202 (0.0000),0.8460 (0.0000),0.5432 (0.0000),0.0170 (0.0000),0.9393 (0.0000),0.0024 (0.0000),0.9743 (0.0000)
github-GraphSAGE_lset,0.9202 (0.0000),0.8460 (0.0000),0.5432 (0.0000),0.0170 (0.0000),0.6149 (0.0000),0.0024 (0.0000),0.6942 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9202 (0.0000),0.8460 (0.0000),0.5728 (0.0000),0.0308 (0.0000),0.5663 (0.0000),0.0066 (0.0000),0.6242 (0.0000)
github-GraphSAGE_lira-offline,0.9202 (0.0000),0.8460 (0.0000),0.5366 (0.0000),0.0141 (0.0000),-0.0348 (0.0000),0.0019 (0.0000),-0.0068 (0.0000)
github-GraphSAGE_rmia-offline,0.9202 (0.0000),0.8460 (0.0000),0.5428 (0.0000),0.0207 (0.0000),0.9540 (0.0000),0.0021 (0.0000),0.9869 (0.0000)
github-GraphSAGE_lset-offline,0.9202 (0.0000),0.8460 (0.0000),0.5428 (0.0000),0.0207 (0.0000),0.6385 (0.0000),0.0021 (0.0000),0.7546 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9202 (0.0000),0.8460 (0.0000),0.5928 (0.0000),0.0387 (0.0000),0.5837 (0.0000),0.0088 (0.0000),0.6540 (0.0000)
