,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9100 (0.0000),0.8410 (0.0000),0.4919 (0.0000),0.0093 (0.0000),-0.0126 (0.0000),0.0016 (0.0000),-0.0101 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9100 (0.0000),0.8410 (0.0000),0.5094 (0.0000),0.0072 (0.0000),0.1418 (0.0000),0.0011 (0.0000),0.2058 (0.0000)
github-GraphSAGE_lira,0.9100 (0.0000),0.8410 (0.0000),0.5382 (0.0000),0.0342 (0.0000),0.5691 (0.0000),0.0040 (0.0000),1.2600 (0.0000)
github-GraphSAGE_rmia,0.9100 (0.0000),0.8410 (0.0000),0.5481 (0.0000),0.0247 (0.0000),0.9157 (0.0000),0.0053 (0.0000),0.9628 (0.0000)
github-GraphSAGE_lset,0.9100 (0.0000),0.8410 (0.0000),0.5481 (0.0000),0.0247 (0.0000),0.5864 (0.0000),0.0053 (0.0000),0.6530 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9100 (0.0000),0.8410 (0.0000),0.5521 (0.0000),0.0286 (0.0000),0.5623 (0.0000),0.0045 (0.0000),0.6364 (0.0000)
github-GraphSAGE_lira-offline,0.9100 (0.0000),0.8410 (0.0000),0.5489 (0.0000),0.0207 (0.0000),-0.0374 (0.0000),0.0016 (0.0000),-0.0052 (0.0000)
github-GraphSAGE_rmia-offline,0.9100 (0.0000),0.8410 (0.0000),0.5483 (0.0000),0.0265 (0.0000),0.9357 (0.0000),0.0085 (0.0000),0.9681 (0.0000)
github-GraphSAGE_lset-offline,0.9100 (0.0000),0.8410 (0.0000),0.5493 (0.0000),0.0268 (0.0000),0.5900 (0.0000),0.0088 (0.0000),0.6462 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9100 (0.0000),0.8410 (0.0000),0.5664 (0.0000),0.0326 (0.0000),0.5810 (0.0000),0.0069 (0.0000),0.6682 (0.0000)
