,train_acc,test_acc,AUC,TPR@0.01FPR
lset-cora-GCN,0.9179 (0.0080),0.7953 (0.0117),0.8181 (0.0033),0.1480 (0.0493)
bootstrapped-lset-cora-GCN,0.9179 (0.0080),0.7953 (0.0117),0.7626 (0.0199),0.0680 (0.0389)
bayes-optimal-cora-GCN-MCMC,0.9179 (0.0080),0.7953 (0.0117),0.7964 (0.0184),0.0912 (0.0319)
