,train_acc,test_acc,AUC,TPR@0.01FPR
lset-cora-GCN,0.9168 (0.0077),0.7973 (0.0138),0.8160 (0.0130),0.1520 (0.0404)
bootstrapped-lset-cora-GCN,0.9168 (0.0077),0.7973 (0.0138),0.7533 (0.0191),0.0720 (0.0309)
