,train_acc,test_acc,AUC,TPR@0.01FPR,TPR@0.005FPR
cora-GCN_lset,0.9170 (0.0037),0.8071 (0.0106),0.8166 (0.0063),0.1656 (0.0351),0.1280 (0.0471)
cora-GCN_strong-lset-in,0.9170 (0.0037),0.8071 (0.0106),0.8999 (0.0148),0.3312 (0.0282),0.3008 (0.0495)
cora-GCN_strong-lset-out,0.9170 (0.0037),0.8071 (0.0106),0.8215 (0.0099),0.1904 (0.0437),0.1368 (0.0366)
cora-GCN_strong-graph-lset-in,0.9170 (0.0037),0.8071 (0.0106),0.8793 (0.0187),0.2544 (0.0557),0.1800 (0.0742)
cora-GCN_strong-graph-lset-out,0.9170 (0.0037),0.8071 (0.0106),0.8311 (0.0113),0.1896 (0.0566),0.1208 (0.0239)
