,train_acc,test_acc,AUC,TPR@0.1FPR,threshold@0.1FPR,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR,TPR@0.9threshold,FPR@0.9threshold,TPR@0.99threshold,FPR@0.99threshold
citeseer-GAT_rmia,"(0.923331332206726, 0.005578063808833302)","(0.7407451927661896, 0.01029101816837487)","(0.8540834915380394, 0.009238930553989288)","(0.5778580024067389, 0.026793825078589777)","(0.6875769019126892, 0.010805744715823944)","(0.2527075812274368, 0.03247314214023157)","(0.8051215648651123, 0.009630194206843821)","(0.09205776173285199, 0.042125665440623315)","(0.8693754553794861, 0.023112418482986632)","(0.03309265944645006, 0.0071243129317043)","(0.00012033694344163659, 0.0003610108303249098)","(0.0, 0.0)","(0.0, 0.0)"
citeseer-GAT_rmia-offline,"(0.923331332206726, 0.005578063808833302)","(0.7407451927661896, 0.01029101816837487)","(0.8417050050611025, 0.006616926232506186)","(0.6069795427196149, 0.020676954617322055)","(0.637967175245285, 0.008887070848907344)","(0.31901323706377854, 0.034473751523163634)","(0.75833580493927, 0.008624026347456838)","(0.17220216606498195, 0.02312505370431517)","(0.8141551315784454, 0.00879807895805245)","(0.0009626955475330927, 0.0009005192266603951)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
