,FPR_0_cora-GCN_lset,TPR_0_cora-GCN_lset,FPR_1_cora-GCN_lset,TPR_1_cora-GCN_lset,FPR_2_cora-GCN_lset,TPR_2_cora-GCN_lset,FPR_3_cora-GCN_lset,TPR_3_cora-GCN_lset,FPR_4_cora-GCN_lset,TPR_4_cora-GCN_lset,FPR_0_cora-GCN_improved-lset,TPR_0_cora-GCN_improved-lset,FPR_1_cora-GCN_improved-lset,TPR_1_cora-GCN_improved-lset,FPR_2_cora-GCN_improved-lset,TPR_2_cora-GCN_improved-lset,FPR_3_cora-GCN_improved-lset,TPR_3_cora-GCN_improved-lset,FPR_4_cora-GCN_improved-lset,TPR_4_cora-GCN_improved-lset
29,,,,,,,,,,,,,,,,,,,0.18,0.75
30,,,,,,,,,,,,,,,,,,,0.18,0.79
31,,,,,,,,,,,,,,,,,,,0.19,0.79
32,,,,,,,,,,,,,,,,,,,0.19,0.82
33,,,,,,,,,,,,,,,,,,,0.2,0.82
34,,,,,,,,,,,,,,,,,,,0.2,0.83
35,,,,,,,,,,,,,,,,,,,0.23,0.83
36,,,,,,,,,,,,,,,,,,,0.23,0.84
37,,,,,,,,,,,,,,,,,,,0.25,0.84
38,,,,,,,,,,,,,,,,,,,0.25,0.88
39,,,,,,,,,,,,,,,,,,,0.27,0.88
40,,,,,,,,,,,,,,,,,,,0.27,0.89
41,,,,,,,,,,,,,,,,,,,0.28,0.89
42,,,,,,,,,,,,,,,,,,,0.28,0.9
43,,,,,,,,,,,,,,,,,,,0.36,0.9
44,,,,,,,,,,,,,,,,,,,0.36,0.91
45,,,,,,,,,,,,,,,,,,,0.4,0.91
46,,,,,,,,,,,,,,,,,,,0.4,0.92
47,,,,,,,,,,,,,,,,,,,0.42,0.92
48,,,,,,,,,,,,,,,,,,,0.42,0.93
49,,,,,,,,,,,,,,,,,,,0.43,0.93
50,,,,,,,,,,,,,,,,,,,0.43,0.94
51,,,,,,,,,,,,,,,,,,,0.49,0.94
52,,,,,,,,,,,,,,,,,,,0.49,0.95
53,,,,,,,,,,,,,,,,,,,0.5,0.95
54,,,,,,,,,,,,,,,,,,,0.5,0.96
55,,,,,,,,,,,,,,,,,,,0.7,0.96
56,,,,,,,,,,,,,,,,,,,0.7,0.97
57,,,,,,,,,,,,,,,,,,,0.79,0.97
58,,,,,,,,,,,,,,,,,,,0.79,0.99
59,,,,,,,,,,,,,,,,,,,0.92,0.99
60,,,,,,,,,,,,,,,,,,,0.92,1.0
61,,,,,,,,,,,,,,,,,,,1.0,1.0
