,train_acc,test_acc,AUC,TPR@0.01FPR,TPR@0.005FPR
cora-GCN_lset,0.9177 (0.0097),0.8050 (0.0060),0.8150 (0.0288),0.1840 (0.0265),0.1840 (0.0265)
cora-GCN_improved-lset,0.9177 (0.0097),0.8050 (0.0060),0.8378 (0.0218),0.1700 (0.0910),0.1700 (0.0910)
