,train_acc,test_acc,time,AUC,TPR@0.01FPR,TPR@0.001FPR
flickr-GCN_base,"(0.5684481859207153, 0.0)","(0.4725378155708313, 0.0)","(0.6373128890991211, 0.0)","(0.5596366729276819, 0.0)","(0.01636037651277454, 0.0)","(0.003809950694755715, 0.0)"
flickr-GCN_g-base-gibbs,"(0.5684481859207153, 0.0)","(0.4725378155708313, 0.0)","(7112.914083957672, 0.0)","(0.5796809041980278, 0.0)","(0.02442850739578664, 0.0)","(0.0044822949350067235, 0.0)"
flickr-GCN_g-base-GT,"(0.5684481859207153, 0.0)","(0.4725378155708313, 0.0)","(225.07917094230652, 0.0)","(0.6952173300268958, 0.0)","(0.08583594800537875, 0.0)","(0.012774540564769161, 0.0)"
