,train_acc,test_acc,AUC,TPR@0.01FPR
lset-cora-GCN,0.9217 (0.0000),0.7969 (0.0000),0.8133 (0.0000),0.1240 (0.0000)
bayes-optimal-cora-GCN-MI-small,0.9217 (0.0000),0.7969 (0.0000),0.7829 (0.0000),0.1000 (0.0000)
bayes-optimal-cora-GCN-MI-large,0.9217 (0.0000),0.7969 (0.0000),0.7875 (0.0000),0.1240 (0.0000)
