,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@est_threshold,FPR@est_threshold
pubmed-GraphSAGE_lira,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.5283957475107781, 0.005667598075958252)","(0.012172854534388313, 0.0023555163763359695)","(17.91947729749183, 2.3019693960806893)","(0.012375735443294785, 0.001351862953861447)","(0.010448366808683305, 0.0013373222558471902)"
pubmed-GraphSAGE_rmia,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.5749860269838607, 0.005374689354056891)","(0.0306553053357679, 0.0031278551813827375)","(0.9449292480945587, 0.0022450017287180624)","(0.027733820247514706, 0.0014799185412730273)","(0.00866301481030635, 0.001103977915229279)"
pubmed-GraphSAGE_base,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.5749856524218255, 0.005374772224787212)","(0.03067559342665855, 0.0031440650237874643)","(0.6014868676662445, 0.004623125102227276)","(0.028667072428484475, 0.0021795302566754676)","(0.009007912355447352, 0.001293355849097929)"
pubmed-GraphSAGE_g-base-MIA,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.6290976479521068, 0.006502831324758903)","(0.053317102860620816, 0.005798846040965662)","(0.5950588285923004, 0.005175596683673551)","(0.053905457496449594, 0.0039151810407481655)","(0.010123757354432949, 0.0011914828046277965)"
pubmed-GraphSAGE_lira-offline,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.5554040205159563, 0.007107433900058044)","(0.015216068167985392, 0.0018988612630225345)","(-6.088357717799165e-07, 1.2267106688579912e-06)","(0.020389531345100426, 0.003869923423641981)","(0.013674173260296208, 0.0028565170877335026)"
pubmed-GraphSAGE_rmia-offline,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.568403228872921, 0.005858775930241544)","(0.034063704605396636, 0.004682507200135854)","(0.969422048330307, 0.0021123258853457685)","(0.03140596469872185, 0.002692742547865621)","(0.008784743355650233, 0.001526468192816123)"
pubmed-GraphSAGE_base-offline,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.5698142266975388, 0.006204417140796777)","(0.03302901196997362, 0.0038523874056134453)","(0.6039783000946045, 0.006450027346262912)","(0.03168999797119091, 0.0023621472230193354)","(0.009149928991681884, 0.001753365316844185)"
pubmed-GraphSAGE_g-base-MIA-offline,"(0.96308074593544, 0.00196424015639877)","(0.8730550795793534, 0.0033324831839215674)","(0.6270650212115304, 0.00442199509551502)","(0.055995130858186234, 0.004042373472341503)","(0.6566855549812317, 0.005102577656706881)","(0.05546764049502941, 0.0030663890655157765)","(0.009961452627307769, 0.0011456934796912556)"
