,train_acc,test_acc,AUC,TPR@0.1FPR,threshold@0.1FPR,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR,TPR@0.9threshold,FPR@0.9threshold,TPR@0.99threshold,FPR@0.99threshold
cora-GCN_rmia,"(0.9609305739402771, 0.0052270562025086295)","(0.8070900976657868, 0.008315193422527479)","(0.8306007256795882, 0.012949713109156767)","(0.49335302806499265, 0.028847067826329658)","(0.7447854161262513, 0.006836996347031826)","(0.1960118168389956, 0.03486749780788296)","(0.8414759159088134, 0.009484710653092511)","(0.09394387001477104, 0.03962497295026557)","(0.8740853190422058, 0.01283020798332382)","(0.027326440177252588, 0.004910124117753223)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
cora-GCN_rmia-offline,"(0.9609305739402771, 0.0052270562025086295)","(0.8070900976657868, 0.008315193422527479)","(0.8162918994870498, 0.010011213497804466)","(0.5031019202363367, 0.023598570674790553)","(0.7038700461387635, 0.00747537203571655)","(0.20871491875923193, 0.035909449385426694)","(0.8086877942085267, 0.011718784703471255)","(0.10472673559822747, 0.023011094298754572)","(0.8443385303020478, 0.00840915811734732)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)"
